review_id,sentences_ids,sentences_texts,sentences_opinions,texts_trans,opinions_trans
1058221,id_4,"i happen to have a policy that goes along with a little bit of self-respect, which includes not letting a waiter intimidate me, i.e. make me feel bad asking for trivialities like water, or the check.",waiter negative,"У меня есть политика, которая сопровождается небольшим чувством самоуважения, которое включает в себя не позволять официанту запугивать меня, то есть заставлять меня чувствовать себя плохо, прося о таких мелочах, как вода или чек.",официант negative
PP#4,id_4,I thought the restaurant was nice and clean.,restaurant positive,"Я думал, что ресторан хороший и чистый.",ресторан positive
NP#4,id_0,Maggot in the food!,food negative,Личинка в еде!,еда negative
1538149,id_1,The food was authentic.,food positive,Еда была настоящей.,еда positive
ADLT#3,id_2,This establishment is the real deal.,establishment positive,Это заведение - настоящая сделка.,учреждение positive
875139,id_1,The pizza was pretty good and huge.,pizza positive,Пицца была довольно хорошей и огромной.,пицца positive
1623276,id_1,The food is tasty and portion sizes are appropriate.,food positive <sep> portion sizes positive,"Еда вкусная, порции подходящие.",еда positive <sep> размеры порций positive
TFS#10,id_9,"All in all, I would return - as it was a beautiful restaurant - but I hope the staff pays more attention to the little details in the future.",restaurant positive <sep> staff negative,"В общем, я бы вернулся - так как это был красивый ресторан, - но я надеюсь, что в будущем персонал будет уделять больше внимания мелким деталям.",ресторан positive <sep> сотрудники negative
632121,id_3,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe positive <sep> owner positive <sep> service positive,"Лучше всего то, что здесь царит теплая атмосфера, владелец очень дружелюбный, а обслуживание быстрое.",атмосфера positive <sep> владелец positive <sep> услуга positive
DBG#7,id_10,The real problem I had with this place was the complete lack of service.,service negative,"Настоящей проблемой, с которой я столкнулся с этим местом, было полное отсутствие обслуживания.",услуга negative
TR#3,id_3,Good food: my favorite is the seafood spaghetti.,food positive <sep> seafood spaghetti positive,Хорошая еда: мое любимое блюдо - спагетти с морепродуктами.,еда positive <sep> спагетти с морепродуктами positive
TFS#5,id_16,Vanison was good but not amazing.,Vanison neutral,"Вэнисон был хорош, но не потрясающ.",Vanison neutral
NP#4,id_3,"Nevertheless, I finished my plate, and that's when I found a maggot in mushroom sauce at the bottom.",mushroom sauce negative,"Тем не менее, я закончил свою тарелку, и именно тогда я обнаружил на дне личинку в грибном соусе.",грибной соус negative
1632445,id_2,The lobster sandwich is good and the spaghetti with Scallops and Shrimp is great.,lobster sandwich positive <sep> spaghetti with Scallops and Shrimp positive,"Сэндвич с лобстером хорош, а спагетти с гребешками и креветками великолепны.",бутерброд с лобстером positive <sep> спагетти с гребешками и креветками positive
757762,id_2,He offers subpar service and has no personality.,service negative,Он предлагает некачественный сервис и лишен личности.,услуга negative
CLF#3,id_4,I literally just got back home after visiting Casa La Femme and was so offended by my visit felt it necessary to try and warn other diners who value their money and time.,Casa La Femme negative,"Я буквально только что вернулся домой после посещения Casa La Femme и был настолько оскорблен своим визитом, что почувствовал необходимость попытаться предупредить других посетителей, которые ценят свои деньги и время.",Casa La Femme negative
475298,id_0,"Good, fast service.",service positive,"Хорошее, быстрое обслуживание.",услуга positive
Y#6,id_5,"The Dancing, White River and Millenium rolls are musts.","Dancing, White River and Millenium rolls positive","Броски «Танцы», «Белая река» и «Миллениум» - это то, что нужно.","Танцы, Белая река и роллы Тысячелетия positive"
1253117,id_1,"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza positive <sep> fresh mozzarella positive,"Пицца восхитительна - они используют свежую моцареллу вместо дешевого замороженного тертого сыра, который обычно бывает в большинстве пиццерий.",пицца positive <sep> свежая моцарелла positive
1626564,id_2,Fish is so very fresh.,Fish positive,Рыба такая свежая.,Рыба positive
657129,id_0,go here for the drinks!,drinks positive,иди сюда за напитками!,напитки positive
1448587,id_0,"With the exception of our lemon salad that had so much pepper on it that our eyes started watering, the food here was decent, not great.",food neutral <sep> lemon salad negative,"За исключением нашего лимонного салата, в котором было так много перца, что у нас слезились глаза, еда здесь была приличной, не отличной.",еда neutral <sep> лимонный салат negative
1058221,id_2,the food is decent.,food neutral,еда приличная.,еда neutral
TFS#11,id_0,I was speechless by the horrible food.,food negative,Я потерял дар речи от ужасной еды.,еда negative
1706644,id_3,"My friends settled for rice dishes, but we came back the following day to try the dim sum, which was good...not outstanding, but good.",dim sum neutral,"Мои друзья остановились на блюдах из риса, но мы вернулись на следующий день, чтобы попробовать димсам, который был хорош ... не выдающимся, но хорошим.",димсам neutral
BHD#7,id_1,this place had ALL the trimmings and i mean all.,trimmings positive,"в этом месте была ВСЕ отделка, и я имею в виду все.",обрезки positive
957145,id_2,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",Vittorio positive <sep> crew positive,"На протяжении многих лет ведущий Витторио и его команда всегда относились ко мне как к семье - хотя, несмотря на все дела, которыми занимается эта не такая уж маленькая жемчужина, удивительно, что он даже может вспомнить постоянного, но не очень частого посетителя. ",Витторио positive <sep> экипаж positive
1661043,id_0,Pizza here is consistently good.,Pizza positive,Пицца здесь неизменно хорошая.,Пицца positive
1632445,id_4,The only fallback on this restaurant is the prices.,restaurant negative,Единственное отступление от этого ресторана - цены.,ресторан negative
1256373,id_0,By far the best salad I have had in a fast food restaurant.,salad positive,"Безусловно, лучший салат, который я ел в ресторане быстрого питания.",салат positive
BFC#9,id_7,"Not much of a selection of bottled beer either, we went with Brahma.",selection of bottled beer negative,"Пива в бутылках тоже не так много, мы пошли с Брахмой.",выбор бутылочного пива negative
1671113,id_2,"I have tried to make reservations, but both times, the hostess didn't have my name.",hostess negative,"Я пытался сделать предварительный заказ, но оба раза хозяйка не называла моего имени.",хозяйка negative
490565,id_4,"You can get a completely delish martini in a glass (that's about 2 1/2 drinks) for $8.50 (I recommend the Vanilla Shanty, mmmm!) in a great homey setting with great music.",martini positive <sep> Vanilla Shanty positive <sep> setting positive <sep> music positive,"Вы можете получить совершенно восхитительный мартини в стакане (это примерно 2 1/2 напитка) за 8,50 долларов (я рекомендую Vanilla Shanty, мммм!) В отличной домашней обстановке с отличной музыкой.",мартини positive <sep> Ванильный шанти positive <sep> параметр positive <sep> Музыка positive
1710746,id_4,"Consequently, their burgers fell apart in their hands and made such a mess that they did'nt feel like finishing them.",burgers negative,"Следовательно, их гамбургеры рассыпались у них в руках и образовали такой беспорядок, что им даже не хотелось их доедать.",бургеры negative
CLF#5,id_6,I never write on these sites but this restaurant is def worth commending!,restaurant positive,"Я никогда не пишу на этих сайтах, но этот ресторан стоит похвалить!",ресторан positive
DBG#6,id_5,"But for the Shabu Shabu, you won't find much better in NY.",Shabu Shabu positive,Но для Shabu Shabu вы не найдете ничего лучшего в Нью-Йорке.,Шабу шабу positive
505535,id_0,this little place has a cute interior decor and affordable city prices.,interior decor positive <sep> place positive,это местечко с симпатичным интерьером и доступными городскими ценами.,интерьерный декор positive <sep> место positive
490565,id_0,"As a retired hipster, I can say with some degree of certainty that for the last year Lucky Strike has been the best laid-back late night in the city.",Lucky Strike positive,"Как хипстер на пенсии, я могу с некоторой долей уверенности сказать, что за последний год Lucky Strike был лучшим спокойным ночным клубом в городе.",Удачный выстрел positive
P#9,id_2,"The drinks are great, especially when made by Raymond.",drinks positive <sep> Raymond positive,"Напитки отличные, особенно если их приготовил Раймонд.",напитки positive <sep> Раймонд positive
680345,id_2,"Delicate spices, onions, eggs and a kick-ass roti.",spices positive <sep> onions positive <sep> eggs positive <sep> roti positive,"Нежные специи, лук, яйца и потрясающие роти.",специи positive <sep> лук positive <sep> яйца positive <sep> роти positive
485966,id_2,Service was good and food is wonderful.,Service positive <sep> food positive,"Обслуживание было хорошим, и еда замечательная.",Услуга positive <sep> еда positive
507755,id_0,"Have eaten at Ginger House several times, and it's always good.",Ginger House positive,"Ели в Джинджер Хаус несколько раз, и это всегда хорошо.",Имбирный дом positive
1719567,id_2,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,scallops positive <sep> sauce positive,"На закуску у нас были гребешки, они были восхитительны, а соус был замечательным.",гребешки positive <sep> соус positive
1506491,id_0,"I have known about this secret for the last 13 years, Emilio(the Godfather) has continued to serve food and wine for the gods at mortal prices.",food positive <sep> wine positive,"Я знал об этом секрете последние 13 лет, Эмилио (Крестный отец) продолжал подавать еду и вино для богов по смертной цене.",еда positive <sep> вино positive
1430994,id_6,My boyfriend had Prime Rib it was good .,Prime Rib positive,"У моего парня было Prime Rib, это было хорошо.",Prime Rib positive
1431154,id_0,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,food positive,Моя жена и я ели здесь ранее на этой неделе и не переставали разглагольствовать о еде.,еда positive
Z#5,id_1,Mazing interior.,interior negative,Изумительный интерьер.,интерьер negative
1205520,id_2,Make sure you have the Spicy Scallop roll.. .,Spicy Scallop roll positive,"Убедитесь, что у вас есть ролл с острым гребешком.",Пикантный ролл с гребешком positive
1660047,id_4,"We did tip, I guess the model/waitress just wanted more and complained to the manager.",waitress negative,"Мы дали чаевые, я думаю, модель / официантка просто хотела еще и пожаловалась менеджеру.",официантка negative
NP#10,id_5,This place is a must visit!,place positive,Это место обязательно нужно посетить!,место positive
493013,id_3,noodles with shrimp and chicken and coconut juice is the MUST!,noodles with shrimp and chicken and coconut juice positive,лапша с креветками и курицей и кокосовым соком ОБЯЗАТЕЛЬНА!,лапша с креветками и курицей и кокосовым соком positive
Z#7,id_0,This place doesn't make any sense,place negative,Это место не имеет смысла,место negative
535248,id_1,The shrimp scampi was excellent and the antipasti were plentiful.,shrimp scampi positive <sep> antipasti positive,"Креветки с чесноком были превосходны, а закуски были в изобилии.",креветки с соусом из креветок positive <sep> закуска positive
447697,id_3,Try sushimi cucumber roll.,sushimi cucumber roll positive,Попробуйте ролл с сушими и огурцами.,сушими ролл с огурцом positive
BG#6,id_1,Decor needs to be upgraded but the food is amazing!,Decor negative <sep> food positive,"Декор нужно обновить, но еда потрясающая!",Декор negative <sep> еда positive
1318537,id_4,Hats off to the chef.,chef positive,Снимаю шляпу перед шеф-поваром.,повар positive
498657,id_2,"The rest of the dim sum, though pricey by Chinatown standards, is worth it.",dim sum negative <sep> dim sum positive,"Остальная часть димсама, хотя и дорогая по меркам китайского квартала, того стоит.",димсам negative <sep> димсам positive
955711,id_2,LOVE the atmosphere - felt like I was in Paris.,atmosphere positive,"ЛЮБЛЮ атмосферу - я чувствовал себя так, как будто был в Париже.",атмосфера positive
1016296,id_0,I was very disappointed with this restaurant.,restaurant negative,Я был очень разочарован этим рестораном.,ресторан negative
BHD#7,id_3,amazing fun for hot dog lovers of all ages PLEASE do yourself a favor and check this place out!!!!,place positive <sep> hot dog positive,"удивительное развлечение для любителей хот-догов всех возрастов ПОЖАЛУЙСТА, сделайте себе одолжение и проверьте это место !!!!",место positive <sep> хотдог positive
872763,id_2,Personal pans are the perfect size for those hungry nights.,Personal pans positive,Персональные сковороды идеального размера для голодных ночей.,Персональные кастрюли positive
FF#10,id_4,But the service is HORRID!,service negative,Но обслуживание УЖАСНОЕ!,услуга negative
1280179,id_1,"To sum it up: Service varies from good to mediorce, depending on which waiter you get; generally it is just average Ok.",Service neutral,"Подводя итог: обслуживание варьируется от хорошего до среднего, в зависимости от того, какого официанта вы получите; ",Услуга neutral
1746113,id_1,The menu has so many fish items and oysters.,menu positive,В меню очень много рыбных блюд и устриц.,меню positive
1300636,id_2,I have to highly recommend the lobster roll - not to much mayo; you can tell it was a fresh lobster.,lobster roll positive <sep> lobster positive,Я очень рекомендую ролл с лобстером - не слишком много майонеза; ,ролл с лобстером positive <sep> Омар positive
1451107,id_6,The staff was the friendliest that have seen in New York.,staff positive,"Персонал был самым дружелюбным, что видел в Нью-Йорке.",сотрудники positive
759781,id_4,"The vibe is very relaxed and cozy, service was great and the food was excellent!",vibe positive <sep> service positive <sep> food positive,"Атмосфера очень расслабляющая и уютная, обслуживание было отличным, и еда была превосходной!",атмосфера positive <sep> услуга positive <sep> еда positive
1221938,id_1,Try their chef's specials-- they are to die for.,chef's specials positive,Попробуйте фирменные блюда их шеф-повара - за них стоит умереть.,фирменные блюда от шеф-повара positive
1225162,id_3,The staff is incredibly helpful and attentive.,staff positive,Персонал невероятно услужливый и внимательный.,сотрудники positive
470488,id_4,"Furthermore, the rice had no seasoning, so the sushi was bland and disgusting.",rice negative <sep> sushi negative,"Кроме того, в рисе не было приправ, поэтому суши были пресными и отвратительными.",рис negative <sep> суши negative
1655504,id_0,Have frequented 'ino for several years and the food remains excellent.,food positive,"Посещали ино уже несколько лет, и еда остается отличной.",еда positive
TR#8,id_5,Food was OK.,Food neutral,Еда была в порядке.,Еда neutral
709294,id_0,My roommate and I LOVE this place.,place positive,Я и мой сосед по комнате ОБОЖАЕМ это место.,место positive
