,Generated Text,Actual Text,Original Sentence
73,appetizer neutral <sep> scallops positive <sep> sauce positive,scallops positive <sep> sauce positive,aspect analysis: We had the scallops as an appetizer and scallops were delicious and the sauce was wonderful.
74,appetizer neutral <sep> scallops positive <sep> sauce positive,scallops positive <sep> sauce positive,aspect analysis: We had the scallops as an appetizer and they (scallops) were delicious and the sauce was wonderful.
75,owners neutral <sep> cooks negative,owners neutral <sep> cooks positive,"aspect analysis: So inexcpensive that you'd wonder about the sanity of the owners, if they weren't such good cooks."
76,owners neutral <sep> cooks negative,owners neutral <sep> cooks positive,"aspect analysis: So inexcpensive that you'd wonder about the sanity of the owners, if owners weren't such good cooks."
77,owners neutral <sep> cooks negative,owners neutral <sep> cooks positive,"aspect analysis: So inexcpensive that you'd wonder about the sanity of the owners, if they (owners) weren't such good cooks."
78,waiter positive <sep> courses neutral <sep> dish negative,waiter neutral <sep> main courses neutral <sep> dish neutral <sep> red pepper hummus positive,"aspect analysis: Our waiter brought out three main courses, but the fourth wasn't ready so we had to wait for 10 minutes for the last dish to arrive, but they were very nice and gave us free red pepper hummus while we waited."
79,dishes neutral <sep> waiter positive <sep> red pepper hummus positive,waiter neutral <sep> main courses neutral <sep> dish neutral <sep> red pepper hummus positive,"aspect analysis: Our waiter brought out three main courses, but the fourth wasn't ready so we had to wait for 10 minutes for the last dish to arrive, but waiter were very nice and gave us free red pepper hummus while we waited."
80,waiter positive <sep> courses neutral <sep> dish neutral,waiter neutral <sep> main courses neutral <sep> dish neutral <sep> red pepper hummus positive,"aspect analysis: Our waiter brought out three main courses, but the fourth wasn't ready so we had to wait for 10 minutes for the last dish to arrive, but they (waiter) were very nice and gave us free red pepper hummus while we waited."
81,reviews neutral <sep> boths positive,boths positive,aspect analysis: The boths are not as small as some of the reviews make them out to look they're perfect for 2 people.
82,reviews neutral <sep> boths positive,boths positive,aspect analysis: The boths are not as small as some of the reviews make the boths out to look boths perfect for 2 people.
83,reviews neutral <sep> boths positive,boths positive,aspect analysis: The boths are not as small as some of the reviews make them (boths) out to look they're (boths) perfect for 2 people.
