Predicted idx,Gold idx
"[(35, 38)]","[(0, 12)]"
"[(0, 4), (20, 26)]","[(0, 4), (28, 35), (76, 80)]"
[],"[(0, 5), (7, 18), (20, 27)]"
[],"[(0, 5), (7, 11)]"
[],"[(0, 7)]"
[],"[(0, 5), (33, 44)]"
"[(22, 28), (30, 35)]","[(37, 43)]"
"[(43, 48)]","[(0, 4), (43, 48)]"
"[(0, 0), (18, 21), (39, 46)]","[(18, 33)]"
"[(17, 25), (27, 30)]","[(0, 15)]"
"[(0, 4), (15, 25), (44, 49), (103, 106), (118, 124)]","[(16, 62)]"
[],"[(21, 36)]"
[],"[(15, 25)]"
"[(10, 11)]","[(13, 21)]"
"[(20, 25), (33, 39), (41, 50), (52, 58), (105, 110), (122, 128)]","[(9, 25), (27, 39), (60, 72), (74, 91)]"
[],"[(14, 21)]"
"[(28, 36), (50, 56)]","[(20, 36), (58, 62)]"
"[(78, 85), (108, 112)]","[(15, 22)]"
"[(30, 33)]","[(7, 28)]"
"[(175, 185)]","[(30, 39), (74, 78), (80, 86), (118, 133), (144, 156), (158, 167), (169, 173), (175, 184)]"
"[(9, 14), (23, 29)]","[(0, 7)]"
"[(9, 16), (21, 23), (50, 59), (61, 65), (113, 117)]","[(9, 16)]"
[],"[(0, 4)]"
[],"[(0, 7)]"
[],"[(9, 17)]"
"[(18, 21), (31, 35)]","[(0, 7)]"
[],"[(83, 87)]"
"[(28, 37), (51, 58), (160, 165)]","[(22, 26), (60, 67), (82, 96)]"
[],"[(13, 19), (21, 24)]"
"[(9, 14)]","[(0, 7)]"
"[(0, 5), (21, 27), (57, 61)]","[(0, 5), (39, 52), (57, 61)]"
[],"[(0, 6)]"
"[(7, 10), (35, 37)]","[(47, 54)]"
[],"[(21, 25)]"
[],"[(0, 5)]"
"[(46, 53)]","[(55, 59)]"
[],"[(0, 5)]"
[],"[(29, 35)]"
[],"[(0, 5), (17, 24)]"
[],"[(10, 16), (28, 33)]"
[],"[(28, 32)]"
"[(33, 41), (172, 178), (273, 281), (283, 290), (389, 389), (398, 405), (407, 412), (427, 430), (432, 435)]","[(138, 143), (160, 170), (199, 203), (229, 238), (283, 300), (360, 367), (398, 412)]"
"[(109, 113), (141, 147), (225, 231), (267, 280), (354, 357), (367, 373), (375, 379)]","[(32, 44), (115, 118), (296, 310)]"
[],"[(29, 39)]"
[],"[(0, 5)]"
[],"[(0, 4)]"
"[(22, 28), (36, 43)]","[(30, 34)]"
[],"[(0, 5)]"
[],"[(0, 14)]"
[],"[(0, 5)]"
"[(23, 28)]","[(45, 55)]"
"[(61, 71)]","[(0, 8), (17, 22), (24, 32)]"
[],"[(0, 7), (19, 26), (37, 42)]"
[],"[(6, 12)]"
[],"[(0, 7)]"
[],"[(24, 32)]"
[],"[(0, 7)]"
[],"[(0, 13), (22, 29), (46, 52)]"
[],"[(0, 10), (17, 22)]"
"[(28, 32), (118, 121)]","[(10, 32)]"
[],"[(0, 4)]"
[],"[(18, 22)]"
"[(0, 10), (12, 15), (17, 20)]","[(0, 10)]"
[],"[(0, 4)]"
"[(51, 53), (87, 89)]","[(0, 7), (21, 26), (61, 74)]"
"[(0, 6), (31, 36)]","[(8, 19)]"
"[(0, 7)]","[(0, 7)]"
[],"[(0, 4), (16, 23)]"
"[(48, 49), (88, 98)]","[(0, 5), (54, 63), (79, 86)]"
[],"[(0, 7)]"
"[(6, 13)]","[(15, 19)]"
[],[]
"[(23, 31)]","[(11, 21), (33, 40)]"
"[(9, 13)]","[(0, 7), (15, 20)]"
[],"[(8, 11), (13, 23)]"
[],"[(5, 15)]"
"[(48, 56)]","[(19, 28)]"
[],"[(0, 7)]"
[],"[(8, 15)]"
"[(13, 16), (22, 27), (51, 56), (71, 80)]","[(6, 11), (58, 61)]"
"[(27, 30)]","[(16, 25)]"
"[(2, 5)]","[(0, 7), (9, 13), (23, 28)]"
[],"[(0, 10)]"
"[(39, 44), (75, 76), (78, 81), (127, 134)]","[(104, 114)]"
"[(21, 26), (45, 48)]","[(92, 107)]"
[],"[(0, 7), (19, 24)]"
[],"[(0, 4)]"
"[(9, 16)]","[(0, 7)]"
[],"[(0, 4)]"
[],"[(18, 23)]"
"[(7, 11)]","[(0, 5), (13, 20)]"
"[(16, 24)]","[(0, 5), (7, 14)]"
[],"[(9, 20)]"
"[(11, 16)]","[(0, 9)]"
[],"[(6, 11), (18, 25)]"
"[(16, 22)]","[(0, 4)]"
[],"[(9, 17), (29, 36)]"
"[(44, 50)]","[(0, 4)]"
"[(13, 20), (44, 47), (60, 63), (70, 78)]","[(7, 11)]"
[],"[(0, 4)]"
[],"[(0, 7)]"
[],"[(6, 10), (18, 23)]"
[],"[(23, 28)]"
[],"[(0, 7), (24, 31), (41, 49)]"
[],"[(0, 10), (21, 28), (37, 42)]"
"[(8, 12)]","[(30, 39)]"
[],"[(10, 14), (16, 25), (60, 65)]"
[],"[(16, 20)]"
[],"[(0, 3)]"
[],"[(16, 20)]"
"[(0, 4)]","[(31, 36), (38, 43), (62, 65)]"
"[(12, 20)]","[(0, 10)]"
[],"[(7, 14), (50, 64)]"
"[(0, 8)]","[(0, 16), (32, 36)]"
[],"[(0, 4)]"
"[(32, 36), (69, 73)]","[(27, 36)]"
[],"[(0, 10)]"
"[(24, 27), (29, 36)]","[(0, 7), (44, 49)]"
[],"[(0, 4)]"
[],"[(0, 5)]"
"[(21, 24)]","[(5, 24), (50, 54)]"
"[(15, 24), (26, 38)]","[(0, 4), (15, 24)]"
[],"[(0, 5)]"
"[(0, 7)]","[(0, 7), (22, 25)]"
[],"[(35, 53), (35, 53)]"
[],"[(0, 7), (24, 32)]"
"[(13, 14)]","[(16, 26)]"
"[(20, 24), (26, 35), (82, 90)]","[(0, 3)]"
"[(0, 6)]","[(0, 6)]"
"[(19, 23)]","[(25, 31), (25, 31)]"
[],"[(46, 53)]"
"[(51, 58)]","[(36, 45)]"
[],"[(0, 6), (22, 29), (71, 81)]"
"[(110, 117), (127, 131)]","[(8, 12)]"
[],"[(8, 18), (34, 43), (46, 54), (56, 63), (65, 70)]"
"[(6, 15)]","[(6, 15), (17, 29)]"
[],"[(0, 5)]"
[],"[(0, 7)]"
[],"[(8, 18), (8, 18)]"
[],"[(17, 22)]"
[],"[(0, 10)]"
"[(31, 38)]","[(0, 11)]"
[],"[(7, 12)]"
[],"[(21, 27)]"
[],"[(75, 83)]"
"[(34, 45), (102, 110), (158, 163)]","[(47, 55)]"
"[(0, 11)]","[(23, 30)]"
"[(90, 96), (127, 136)]","[(65, 70)]"
[],"[(19, 30)]"
"[(6, 13)]","[(6, 13)]"
"[(0, 4)]","[(6, 13)]"
[],"[(14, 19), (27, 33)]"
"[(6, 9)]","[(0, 9)]"
[],"[(0, 5)]"
"[(0, 6)]","[(25, 34), (71, 75), (77, 83), (94, 100)]"
[],"[(9, 17)]"
"[(67, 69)]","[(10, 18), (37, 52), (78, 81)]"
"[(6, 14)]","[(0, 4)]"
"[(81, 91)]","[(0, 8)]"
[],"[(0, 5)]"
"[(14, 19), (76, 78)]","[(49, 53), (69, 78), (93, 101)]"
[],"[(0, 16)]"
"[(123, 127), (195, 202)]","[(0, 3), (43, 51), (150, 178)]"
[],"[(9, 13)]"
[],"[(6, 13), (21, 26)]"
"[(0, 4)]","[(6, 9)]"
[],"[(13, 18)]"
[],"[(28, 33)]"
[],"[(33, 38)]"
"[(14, 19), (54, 59), (61, 66)]","[(14, 31)]"
"[(50, 55), (73, 79)]","[(73, 79)]"
[],"[(0, 3)]"
"[(0, 3)]","[(34, 44)]"
[],"[(33, 43)]"
[],"[(15, 22)]"
[],"[(0, 4)]"
[],"[(9, 21)]"
[],"[(0, 10)]"
"[(0, 3), (22, 30)]","[(15, 20)]"
"[(9, 12)]","[(14, 18)]"
"[(0, 5)]","[(0, 5), (24, 33)]"
"[(5, 12), (22, 26)]","[(22, 31)]"
[],"[(0, 7)]"
"[(49, 58)]","[(0, 7)]"
"[(54, 58)]","[(7, 12)]"
[],"[(18, 25), (36, 40), (51, 55), (63, 68)]"
[],"[(0, 4)]"
"[(17, 18)]","[(0, 8)]"
"[(0, 4)]","[(0, 4)]"
[],"[(0, 5)]"
[],"[(5, 8)]"
"[(26, 30)]","[(0, 4), (11, 14)]"
"[(14, 19), (21, 24), (26, 31)]","[(26, 42)]"
[],"[(0, 7)]"
"[(6, 11), (27, 31)]","[(6, 11), (18, 25), (27, 31)]"
[],"[(0, 4)]"
[],"[(38, 42)]"
[],"[(14, 21), (23, 27)]"
[],"[(11, 16)]"
"[(0, 8), (14, 15), (27, 37), (39, 45)]","[(27, 37)]"
[],"[(8, 23)]"
"[(45, 47)]","[(29, 43)]"
"[(22, 25)]","[(0, 4)]"
"[(21, 28), (61, 68)]","[(54, 68)]"
[],"[(5, 10)]"
"[(33, 39), (101, 105)]","[(26, 31)]"
"[(12, 22), (83, 91)]","[(0, 10), (32, 40), (57, 63), (93, 97)]"
"[(13, 21)]","[(13, 21), (34, 41)]"
[],"[(0, 4)]"
[],"[(0, 7), (15, 20), (32, 42)]"
[],"[(0, 3), (15, 22), (34, 39), (57, 66), (68, 74)]"
"[(13, 18)]","[(0, 4)]"
"[(25, 28), (66, 74)]","[(25, 33)]"
[],"[(25, 30)]"
"[(25, 33)]","[(0, 7), (25, 33)]"
[],"[(0, 7)]"
"[(70, 72)]","[(11, 16), (31, 38)]"
[],"[(0, 15)]"
"[(12, 17), (25, 26), (60, 63)]","[(0, 10), (19, 26), (54, 58)]"
"[(103, 110)]","[(23, 26)]"
[],"[(6, 13), (15, 22)]"
[],"[(0, 4), (15, 33), (35, 41), (43, 47)]"
[],"[(16, 22)]"
"[(0, 6)]","[(0, 14)]"
"[(9, 15)]","[(17, 22)]"
[],"[(11, 16), (18, 25)]"
[],"[(21, 30), (48, 52)]"
"[(26, 39)]","[(14, 18), (26, 39)]"
"[(0, 5)]","[(7, 12)]"
[],"[(0, 7)]"
"[(32, 42)]","[(13, 21), (52, 58), (60, 65)]"
[],"[(0, 4)]"
"[(17, 24), (75, 79)]","[(17, 24), (61, 65)]"
[],"[(0, 7), (42, 49)]"
"[(8, 12), (19, 23), (106, 110)]","[(32, 47), (87, 93)]"
[],"[(0, 6), (19, 23)]"
"[(0, 4)]","[(0, 4)]"
"[(63, 71)]","[(0, 7)]"
"[(7, 14)]","[(0, 5)]"
[],"[(5, 10), (21, 24)]"
[],"[(17, 23)]"
"[(16, 21)]","[(0, 7), (43, 47)]"
[],"[(0, 4)]"
"[(58, 62)]","[(0, 5), (47, 54)]"
"[(5, 10)]","[(0, 3)]"
[],"[(18, 25)]"
[],"[(0, 3)]"
"[(32, 36)]","[(0, 5), (38, 45)]"
"[(54, 57)]","[(63, 74)]"
"[(43, 52), (76, 87)]","[(28, 35)]"
[],"[(0, 8)]"
"[(138, 140)]","[(38, 44), (54, 59), (67, 71), (92, 96)]"
"[(64, 70), (72, 79)]","[(81, 87), (94, 98)]"
"[(49, 52)]","[(0, 10), (24, 31), (49, 52)]"
[],"[(0, 6)]"
[],"[(5, 12), (14, 17), (30, 39)]"
[],"[(0, 9), (21, 28), (39, 46), (57, 62)]"
"[(8, 16)]","[(0, 16)]"
[],"[(9, 16)]"
"[(0, 5), (7, 14)]","[(0, 5)]"
[],"[(0, 4)]"
"[(3, 9)]","[(0, 1)]"
[],"[(0, 7), (9, 14), (16, 20)]"
[],"[(15, 22)]"
"[(7, 10), (12, 19)]","[(0, 5)]"
"[(7, 11)]","[(0, 5), (13, 17), (24, 34)]"
[],"[(0, 3)]"
[],"[(0, 7)]"
"[(19, 26)]","[(6, 11), (19, 26)]"
[],"[(8, 19)]"
[],"[(0, 7), (23, 30)]"
[],"[(10, 18)]"
"[(26, 29), (60, 68), (70, 76)]","[(0, 6)]"
"[(49, 56), (98, 106), (116, 125)]","[(10, 15), (23, 27)]"
"[(25, 33), (35, 41)]","[(0, 10)]"
"[(13, 17)]","[(26, 33), (35, 40)]"
"[(9, 13), (15, 20)]","[(29, 36)]"
[],"[(61, 68)]"
"[(38, 49), (69, 74)]","[(8, 12)]"
"[(42, 45), (47, 52), (62, 70)]","[(54, 60)]"
"[(71, 81), (92, 100), (137, 141), (159, 164)]","[(143, 148)]"
[],"[(0, 4), (11, 19)]"
"[(6, 12), (31, 34), (36, 39), (41, 48), (72, 77)]","[(72, 77)]"
"[(11, 17), (19, 26)]","[(19, 26)]"
[],"[(0, 10)]"
[],"[(10, 20)]"
"[(0, 9), (20, 30)]","[(20, 30)]"
"[(115, 120)]","[(26, 36), (88, 103)]"
[],"[(1, 11)]"
"[(33, 38)]","[(1, 11)]"
"[(86, 92)]","[(1, 14)]"
"[(43, 46), (137, 145)]","[(1, 12)]"
"[(0, 5)]","[(7, 10)]"
"[(19, 22)]","[(0, 7), (24, 31), (39, 44)]"
[],"[(6, 11), (13, 20)]"
"[(29, 38), (57, 64), (86, 91), (206, 211)]","[(169, 174), (182, 204)]"
[],"[(19, 24), (33, 43)]"
[],"[(5, 15)]"
"[(0, 5), (21, 30)]","[(0, 5)]"
[],"[(8, 16), (28, 35)]"
"[(0, 6), (21, 25), (27, 31)]","[(0, 6), (21, 25)]"
[],"[(0, 7), (15, 22), (34, 39), (41, 46)]"
[],"[(0, 3), (23, 31)]"
"[(0, 7)]","[(0, 7)]"
"[(36, 42)]","[(6, 14)]"
"[(0, 9), (40, 49)]","[(28, 38)]"
[],"[(0, 8), (21, 26), (53, 58), (65, 69)]"
[],"[(6, 11), (18, 25)]"
[],"[(0, 11)]"
"[(5, 8)]","[(15, 25)]"
[],"[(4, 10)]"
[],"[(0, 7)]"
"[(10, 13)]","[(10, 13)]"
"[(0, 7)]","[(15, 22)]"
[],"[(0, 17)]"
"[(10, 18), (26, 33), (57, 62), (95, 99), (101, 108)]","[(10, 18)]"
[],"[(0, 3)]"
[],"[(2, 5)]"
[],"[(0, 7)]"
[],"[(0, 5)]"
"[(19, 24)]","[(6, 17)]"
"[(15, 21)]","[(23, 31)]"
[],"[(0, 10), (38, 42)]"
