Predicted idx,Gold idx
[],"[(0, 2)]"
[],"[(5, 8)]"
"[(14, 21)]","[(23, 29)]"
"[(10, 15), (56, 62)]","[(17, 21), (47, 49), (56, 67)]"
[],"[(7, 14)]"
[],"[(33, 35)]"
[],"[(0, 3)]"
[],"[(0, 4)]"
[],"[(5, 13)]"
"[(8, 20)]","[(0, 6)]"
"[(0, 4)]","[(15, 24)]"
"[(0, 6), (13, 18), (49, 50)]","[(8, 18), (26, 37), (49, 50)]"
"[(0, 3)]","[(5, 12), (14, 19)]"
"[(43, 48)]","[(20, 27)]"
[],"[(22, 29)]"
[],"[(18, 19)]"
[],"[(13, 19), (21, 28)]"
"[(0, 10), (24, 27), (38, 48)]","[(0, 10), (29, 48), (55, 60)]"
[],"[(5, 14), (16, 30)]"
[],"[(0, 4)]"
"[(0, 2), (4, 7)]","[(20, 27)]"
[],"[(6, 24)]"
"[(0, 3), (33, 38), (40, 46)]","[(33, 46)]"
[],"[(14, 22)]"
"[(21, 25), (32, 35), (51, 51)]","[(0, 7)]"
"[(5, 11), (13, 16)]","[(5, 11), (31, 39)]"
"[(0, 6), (18, 20)]","[(22, 29)]"
[],"[(19, 25)]"
[],"[(17, 23)]"
"[(20, 28)]","[(11, 18)]"
[],"[(35, 47)]"
[],"[(5, 12)]"
[],"[(26, 37)]"
[],"[(6, 16), (18, 24)]"
"[(5, 10), (35, 35)]","[(5, 13), (15, 26), (28, 35)]"
[],"[(4, 12), (14, 19)]"
"[(39, 45)]","[(0, 4), (28, 32)]"
"[(8, 11)]","[(9, 9)]"
"[(32, 35), (37, 40), (81, 85)]","[(19, 30), (72, 85), (98, 105)]"
"[(0, 5), (7, 9), (22, 27)]","[(14, 27)]"
[],"[(12, 24)]"
[],"[(4, 4)]"
[],"[(20, 23)]"
"[(7, 13)]","[(0, 5)]"
"[(15, 21)]","[(5, 21), (28, 42)]"
"[(29, 33), (55, 58)]","[(9, 33), (35, 44)]"
[],"[(0, 6), (17, 21), (28, 34)]"
"[(5, 12), (14, 18)]","[(42, 47)]"
[],"[(4, 19)]"
[],"[(5, 7)]"
"[(14, 18), (25, 29)]","[(20, 29), (43, 46)]"
[],"[(17, 24)]"
[],"[(30, 40)]"
[],"[(8, 11)]"
[],"[(22, 28), (30, 36)]"
"[(5, 8), (19, 23)]","[(0, 3), (10, 17)]"
[],"[(19, 33), (35, 46), (48, 53), (68, 78)]"
"[(5, 11)]","[(39, 46)]"
[],"[(41, 51)]"
[],"[(0, 9)]"
[],"[(9, 12)]"
[],"[(0, 8)]"
"[(7, 12)]","[(0, 12)]"
[],"[(21, 31)]"
[],"[(38, 43)]"
"[(0, 2), (4, 9), (11, 17)]","[(11, 26), (29, 33), (35, 39), (41, 53)]"
"[(7, 12)]","[(0, 5)]"
[],"[(14, 23)]"
"[(0, 3), (44, 50)]","[(85, 95)]"
[],"[(16, 18)]"
"[(0, 3)]","[(10, 12)]"
"[(10, 11), (23, 32)]","[(10, 21)]"
"[(17, 25)]","[(27, 39)]"
[],"[(5, 10), (12, 19)]"
"[(12, 19)]","[(12, 19)]"
"[(5, 13), (30, 33)]","[(26, 28), (30, 37)]"
[],"[(0, 5)]"
[],"[(0, 3)]"
[],"[(5, 10), (21, 28), (37, 40)]"
"[(11, 14), (20, 22)]","[(24, 30)]"
"[(4, 11), (26, 32)]","[(0, 11), (19, 32)]"
"[(20, 24)]","[(5, 18)]"
[],"[(12, 14), (22, 26)]"
"[(5, 9)]","[(22, 30)]"
"[(39, 49)]","[(0, 14), (39, 49)]"
"[(11, 14)]","[(16, 23)]"
"[(11, 17), (41, 46)]","[(19, 32)]"
"[(0, 6)]","[(0, 6), (57, 71)]"
"[(27, 31)]","[(12, 19), (27, 31)]"
[],"[(10, 20), (22, 30), (32, 43), (45, 57)]"
"[(19, 23)]","[(8, 11)]"
[],"[(6, 10)]"
"[(5, 9), (60, 66)]","[(19, 32), (35, 44), (46, 58), (60, 66), (68, 76)]"
[],"[(5, 20)]"
"[(0, 3)]","[(5, 15)]"
[],"[(5, 20)]"
[],"[(20, 26)]"
"[(31, 38)]","[(18, 19), (40, 46)]"
"[(0, 4), (13, 16), (22, 25), (29, 34)]","[(27, 27), (52, 64), (75, 82)]"
[],"[(11, 22), (69, 74)]"
[],"[(5, 24)]"
"[(26, 28)]","[(26, 28)]"
[],"[(3, 12)]"
[],"[(0, 14), (16, 27)]"
[],"[(15, 18)]"
[],"[(12, 21)]"
[],"[(0, 7)]"
[],"[(0, 3), (5, 8), (25, 30)]"
"[(50, 51)]","[(0, 4), (0, 4)]"
[],"[(0, 5), (23, 27)]"
[],"[(0, 12)]"
[],"[(0, 6)]"
"[(20, 23)]","[(9, 12), (25, 27), (34, 41)]"
"[(21, 28)]","[(0, 12)]"
"[(42, 48)]","[(20, 28), (30, 40)]"
[],"[(21, 24), (36, 40), (42, 47)]"
"[(0, 3), (5, 13)]","[(15, 33), (57, 67), (80, 95)]"
"[(19, 26)]","[(0, 2)]"
[],"[(13, 21)]"
"[(20, 27)]","[(0, 7)]"
[],"[(5, 15)]"
"[(18, 23)]","[(45, 50), (62, 87)]"
[],"[(0, 16), (31, 38)]"
[],"[(79, 86)]"
"[(5, 6)]","[(0, 3), (20, 22)]"
[],"[(8, 11), (13, 17)]"
[],"[(0, 15)]"
"[(20, 25), (27, 33), (82, 89), (99, 102), (139, 148), (163, 168)]","[(35, 43)]"
"[(49, 58)]","[(21, 39), (60, 67)]"
"[(45, 47)]","[(11, 11)]"
[],"[(6, 17), (36, 40)]"
"[(0, 5), (14, 16)]","[(18, 24), (31, 36), (43, 51)]"
"[(6, 6), (63, 66)]","[(17, 21), (38, 52)]"
[],"[(0, 6)]"
[],"[(0, 15)]"
[],"[(0, 10)]"
[],"[(6, 20), (22, 37)]"
[],"[(5, 10), (12, 18)]"
[],"[(14, 23)]"
[],"[(16, 33)]"
"[(35, 38)]","[(35, 38)]"
"[(11, 19), (55, 62), (74, 80)]","[(6, 9)]"
"[(14, 17)]","[(10, 12), (14, 17)]"
"[(64, 72)]","[(5, 10)]"
"[(10, 15)]","[(10, 23)]"
"[(12, 15)]","[(0, 10), (52, 54)]"
"[(0, 3)]","[(22, 38), (45, 64)]"
"[(14, 21)]","[(14, 21), (84, 88)]"
[],"[(44, 46), (63, 65)]"
[],"[(6, 10)]"
"[(0, 6), (82, 90)]","[(78, 90)]"
[],"[(27, 31)]"
"[(0, 5)]","[(20, 22), (36, 45), (47, 59)]"
"[(8, 14)]","[(8, 21)]"
[],"[(6, 9)]"
[],"[(0, 0)]"
[],"[(8, 10)]"
"[(10, 15)]","[(28, 30)]"
"[(11, 18), (92, 94)]","[(11, 25), (27, 41)]"
[],"[(11, 15)]"
[],"[(12, 24)]"
[],"[(18, 25)]"
"[(13, 20)]","[(0, 6)]"
"[(44, 44), (46, 54), (62, 65)]","[(30, 42), (67, 86)]"
[],"[(14, 37)]"
"[(17, 22), (57, 60)]","[(5, 15)]"
[],"[(0, 11)]"
"[(18, 24)]","[(0, 16)]"
[],"[(8, 14)]"
[],"[(7, 23)]"
[],"[(5, 10), (12, 22)]"
[],"[(0, 10)]"
[],"[(0, 4), (23, 28)]"
[],"[(0, 7)]"
"[(33, 39), (47, 54), (68, 72), (87, 91)]","[(56, 66)]"
"[(26, 34)]","[(12, 24)]"
"[(0, 3)]","[(5, 8)]"
"[(37, 41)]","[(0, 19)]"
[],"[(0, 11)]"
"[(31, 34)]","[(13, 29)]"
"[(5, 9), (133, 136)]","[(11, 16), (28, 31), (40, 45), (108, 111)]"
"[(12, 15)]","[(12, 15)]"
[],"[(0, 3)]"
"[(88, 92), (94, 99), (101, 102), (157, 160), (178, 185), (202, 206)]","[(53, 72), (94, 127), (140, 165), (178, 206), (231, 237)]"
"[(17, 22)]","[(4, 8)]"
[],"[(18, 24)]"
"[(18, 22), (24, 26), (34, 37), (45, 50)]","[(9, 22), (18, 22)]"
"[(16, 17)]","[(0, 22)]"
"[(7, 12)]","[(14, 18)]"
[],"[(5, 12)]"
"[(0, 2)]","[(14, 30)]"
[],"[(14, 23), (25, 37)]"
"[(24, 30), (57, 64)]","[(72, 77)]"
"[(0, 6)]","[(15, 21), (33, 36)]"
"[(6, 11)]","[(0, 11)]"
"[(12, 18)]","[(20, 23)]"
[],"[(20, 27)]"
[],"[(29, 38)]"
[],"[(13, 19)]"
[],"[(0, 2)]"
[],"[(0, 6), (29, 41)]"
[],"[(25, 35)]"
"[(71, 76)]","[(38, 45), (47, 61), (63, 76), (78, 83)]"
"[(25, 31), (45, 49), (106, 110)]","[(19, 23), (25, 31), (55, 62), (74, 80), (100, 121)]"
[],"[(0, 2)]"
[],"[(13, 22)]"
"[(19, 25)]","[(19, 25)]"
"[(21, 25), (36, 38), (59, 65)]","[(0, 14), (16, 25), (36, 43)]"
[],"[(0, 13), (45, 58), (50, 53)]"
"[(35, 37)]","[(5, 9), (11, 27)]"
"[(60, 63), (86, 92)]","[(22, 30), (37, 41)]"
"[(0, 4)]","[(27, 34)]"
"[(48, 50), (73, 74)]","[(43, 50), (56, 87), (89, 103), (120, 129)]"
[],"[(19, 37)]"
"[(0, 8), (50, 61)]","[(20, 37)]"
"[(10, 11)]","[(10, 16)]"
[],"[(0, 8)]"
[],"[(0, 20)]"
"[(14, 16)]","[(0, 12)]"
[],"[(10, 11), (13, 22)]"
"[(5, 7)]","[(5, 23), (37, 54)]"
"[(11, 15)]","[(0, 9)]"
"[(50, 53)]","[(0, 9), (21, 33), (42, 48)]"
[],"[(0, 6)]"
[],"[(8, 19)]"
[],"[(0, 0)]"
[],"[(14, 20), (30, 39)]"
[],"[(6, 10)]"
"[(0, 14), (24, 30), (40, 42)]","[(21, 30)]"
[],"[(0, 2), (9, 20)]"
[],"[(2, 11)]"
[],"[(0, 11)]"
[],"[(0, 8)]"
"[(33, 39)]","[(28, 39)]"
[],"[(5, 16), (25, 36)]"
"[(7, 12), (14, 14)]","[(7, 14), (29, 36)]"
[],"[(5, 11), (57, 81)]"
[],"[(5, 11)]"
[],"[(53, 58)]"
"[(13, 20)]","[(22, 25)]"
"[(0, 3), (5, 10)]","[(12, 19)]"
"[(18, 20), (46, 51)]","[(42, 51)]"
[],"[(14, 19)]"
[],"[(0, 3), (1, 1), (18, 25)]"
"[(11, 14)]","[(11, 14)]"
[],"[(0, 2)]"
"[(0, 6), (8, 12)]","[(8, 12), (14, 14)]"
"[(17, 21), (27, 31)]","[(17, 25)]"
"[(16, 22), (24, 27)]","[(36, 44)]"
"[(25, 29)]","[(1, 1), (49, 59)]"
[],"[(4, 8)]"
"[(0, 6)]","[(0, 6)]"
[],"[(0, 7)]"
[],"[(0, 21)]"
"[(43, 51)]","[(35, 51)]"
"[(19, 24), (26, 36), (86, 88)]","[(26, 57)]"
"[(22, 24), (34, 41)]","[(0, 3), (13, 24), (26, 41), (43, 54), (56, 70)]"
"[(32, 37), (39, 46), (69, 76), (119, 124), (126, 128)]","[(20, 37), (69, 82), (94, 111)]"
[],"[(9, 20), (48, 68)]"
[],"[(56, 58)]"
"[(5, 10), (7, 7)]","[(7, 7)]"
"[(9, 12), (19, 25)]","[(9, 12), (27, 31)]"
[],"[(17, 19), (21, 23)]"
"[(11, 16)]","[(11, 23)]"
"[(38, 43)]","[(34, 36), (38, 43), (38, 43)]"
"[(9, 18), (31, 34), (36, 41)]","[(0, 7), (1, 1)]"
"[(15, 15)]","[(9, 33)]"
"[(0, 10), (12, 17), (111, 117)]","[(44, 54)]"
"[(0, 3)]","[(24, 45), (47, 63)]"
"[(29, 36)]","[(7, 14), (21, 36)]"
"[(78, 81)]","[(78, 100)]"
"[(65, 81)]","[(24, 56), (65, 93)]"
"[(3, 5), (23, 25)]","[(0, 5), (60, 66)]"
[],"[(0, 5), (0, 5)]"
"[(0, 3)]","[(51, 54)]"
[],"[(12, 16)]"
"[(11, 13)]","[(11, 20)]"
"[(12, 13)]","[(4, 6), (12, 24), (26, 28)]"
"[(46, 53), (68, 76), (93, 96)]","[(0, 3), (46, 66)]"
"[(47, 52), (93, 96), (109, 116)]","[(4, 17), (38, 40), (54, 57), (83, 91)]"
[],"[(27, 40), (50, 58)]"
"[(0, 6), (15, 23), (25, 27)]","[(0, 6), (25, 32), (34, 37), (39, 46), (50, 57)]"
[],"[(21, 30)]"
"[(16, 20)]","[(16, 20)]"
"[(0, 5), (16, 19), (40, 48)]","[(16, 26), (40, 48)]"
[],"[(0, 10)]"
[],"[(0, 4)]"
[],"[(9, 20), (33, 41), (50, 68)]"
[],"[(4, 10), (12, 19)]"
"[(0, 3), (16, 19)]","[(63, 71)]"
"[(27, 31)]","[(11, 20), (22, 25)]"
"[(8, 10), (29, 32)]","[(0, 6), (34, 40)]"
"[(16, 25)]","[(5, 14), (16, 25)]"
[],"[(9, 21)]"
[],"[(32, 42)]"
[],"[(11, 27)]"
"[(0, 4), (20, 23)]","[(25, 38)]"
[],"[(7, 12), (14, 18), (33, 43)]"
[],"[(0, 4), (6, 15), (17, 22)]"
"[(23, 29)]","[(0, 11), (23, 29), (41, 56)]"
[],"[(0, 5), (7, 14), (27, 42)]"
"[(20, 23), (38, 41)]","[(25, 41)]"
"[(5, 8)]","[(10, 27)]"
[],"[(7, 10), (17, 21)]"
"[(21, 24)]","[(0, 12)]"
"[(7, 10)]","[(12, 22)]"
[],"[(16, 34), (46, 50), (54, 58)]"
[],"[(33, 42)]"
[],"[(21, 23)]"
[],"[(5, 16)]"
"[(63, 76)]","[(34, 37), (45, 53)]"
"[(10, 13), (20, 25)]","[(10, 18), (40, 56)]"
"[(0, 2)]","[(31, 35), (42, 53)]"
"[(0, 0)]","[(0, 0)]"
[],"[(4, 25)]"
"[(0, 12), (78, 83)]","[(22, 33), (58, 61), (58, 61), (101, 105), (130, 137)]"
"[(40, 45)]","[(5, 10), (21, 28), (30, 45), (52, 64)]"
"[(33, 36)]","[(16, 26), (56, 66)]"
[],"[(10, 27), (29, 37)]"
"[(23, 26)]","[(23, 26), (43, 56)]"
"[(46, 49)]","[(56, 59)]"
[],"[(0, 6)]"
[],"[(49, 60)]"
"[(70, 73)]","[(20, 31), (62, 73)]"
"[(17, 20)]","[(10, 15), (47, 52), (79, 86)]"
"[(22, 24), (26, 32)]","[(26, 47)]"
[],"[(0, 3)]"
"[(6, 14), (94, 101), (112, 119)]","[(16, 31), (34, 37), (39, 44), (54, 61), (74, 91), (94, 119)]"
"[(0, 7)]","[(0, 7)]"
"[(5, 5)]","[(25, 32), (34, 39)]"
"[(20, 24)]","[(15, 24)]"
"[(0, 5), (7, 7), (40, 42)]","[(0, 5), (2, 3)]"
