Predicted idx,Gold idx
"[(38, 50), (58, 69), (90, 109), (127, 130), (186, 190)]","[(6, 36), (52, 56), (71, 88), (90, 125), (132, 150)]"
"[(32, 36)]","[(56, 60), (74, 77)]"
"[(26, 35), (62, 65), (83, 94), (104, 109)]","[(0, 5), (62, 65)]"
[],"[(22, 25), (38, 42)]"
[],"[(17, 19), (39, 50), (85, 89)]"
"[(33, 40)]","[(4, 7), (9, 13), (33, 40)]"
[],"[(0, 6), (22, 27), (71, 81)]"
"[(18, 24)]","[(0, 5), (37, 40)]"
"[(24, 27), (58, 61), (87, 98), (159, 164), (270, 274)]","[(0, 3), (5, 13), (24, 27), (35, 40), (100, 109), (127, 146), (185, 197), (199, 215), (225, 229), (231, 237), (263, 274)]"
[],"[(0, 4), (13, 16)]"
[],"[(0, 3), (5, 10)]"
[],"[(0, 3), (12, 18)]"
"[(22, 25), (27, 33)]","[(15, 25), (27, 33)]"
"[(0, 5), (52, 56)]","[(0, 5), (18, 27), (29, 33), (65, 74)]"
"[(41, 45), (47, 55)]","[(19, 24), (57, 60)]"
"[(31, 37)]","[(45, 49), (89, 91)]"
[],"[(0, 3), (5, 9)]"
[],"[(12, 16), (20, 24), (51, 59)]"
"[(39, 43)]","[(6, 10), (50, 64)]"
"[(44, 47)]","[(0, 3), (5, 11), (44, 47), (58, 60)]"
"[(19, 27), (29, 35)]","[(12, 17), (39, 42)]"
"[(0, 7), (14, 18), (54, 66)]","[(0, 7), (14, 18), (68, 71)]"
"[(5, 9)]","[(0, 9), (35, 42)]"
"[(28, 30)]","[(0, 9), (38, 40)]"
"[(53, 60)]","[(0, 11), (35, 49)]"
[],"[(0, 4), (29, 31), (41, 50)]"
"[(13, 16), (22, 31)]","[(38, 41), (48, 51)]"
"[(5, 10)]","[(5, 22), (46, 56)]"
"[(22, 31)]","[(4, 16), (44, 47), (57, 64), (80, 90)]"
[],"[(23, 33), (42, 46)]"
"[(50, 50)]","[(30, 34), (42, 48), (69, 74)]"
[],"[(34, 37), (71, 75), (135, 139)]"
"[(39, 46), (84, 90), (104, 107)]","[(11, 16), (29, 37), (63, 68), (104, 107), (126, 130), (142, 146)]"
"[(0, 4)]","[(17, 21), (37, 40)]"
"[(34, 34), (60, 64)]","[(24, 29), (41, 45)]"
"[(25, 28)]","[(6, 11), (46, 50), (65, 71)]"
"[(0, 3), (75, 80)]","[(16, 20), (40, 43)]"
"[(51, 54)]","[(56, 59), (71, 79)]"
[],"[(0, 9), (31, 34)]"
"[(48, 51), (77, 83)]","[(0, 4), (31, 36)]"
"[(48, 50)]","[(0, 8), (70, 75)]"
"[(6, 13), (69, 72)]","[(32, 46), (69, 72), (93, 100)]"
[],"[(0, 12), (39, 46)]"
"[(72, 76), (154, 159)]","[(0, 3), (34, 49), (63, 70), (148, 159), (166, 182)]"
"[(30, 36)]","[(0, 3), (14, 19)]"
"[(32, 36), (38, 44), (54, 57)]","[(19, 36), (59, 69)]"
"[(62, 72), (89, 91)]","[(0, 3), (33, 44), (49, 52), (54, 60), (74, 77)]"
"[(42, 48)]","[(0, 6), (28, 33)]"
[],"[(0, 4), (11, 24)]"
[],"[(18, 27), (47, 50), (77, 80)]"
[],"[(43, 47), (58, 62), (64, 72)]"
"[(21, 28), (52, 55)]","[(0, 9), (30, 37), (52, 55)]"
"[(0, 6), (23, 28)]","[(17, 21), (46, 56)]"
"[(8, 15), (28, 33)]","[(18, 26), (90, 99)]"
"[(0, 2)]","[(4, 9), (52, 55)]"
"[(20, 25), (34, 40)]","[(6, 13), (27, 32), (42, 45)]"
[],"[(0, 10), (30, 39)]"
"[(9, 16), (34, 39)]","[(0, 3), (5, 16), (18, 22), (24, 32)]"
"[(83, 88)]","[(0, 17), (44, 56), (108, 114)]"
"[(0, 4), (6, 10), (12, 16), (61, 65)]","[(23, 26), (48, 57)]"
[],"[(0, 7), (14, 17), (39, 42)]"
"[(0, 4)]","[(50, 62), (75, 77)]"
"[(0, 8), (19, 23), (32, 40), (42, 46)]","[(0, 8), (58, 63)]"
"[(18, 21), (54, 60)]","[(23, 28), (34, 39), (46, 52)]"
"[(26, 31), (62, 71)]","[(0, 5), (73, 83)]"
"[(98, 101)]","[(5, 11), (50, 54)]"
"[(23, 26), (28, 30)]","[(28, 30), (41, 44)]"
"[(0, 8), (10, 13), (60, 67)]","[(21, 25), (33, 39)]"
"[(37, 42)]","[(5, 10), (19, 23), (30, 42)]"
[],"[(72, 82), (125, 136)]"
[],"[(7, 11), (13, 23), (45, 56)]"
"[(0, 7)]","[(14, 18), (29, 32)]"
"[(5, 8), (17, 17), (29, 32)]","[(0, 3), (19, 27), (86, 94)]"
[],"[(15, 20), (36, 45)]"
"[(18, 23), (56, 56), (61, 68), (72, 79)]","[(55, 59), (89, 96), (108, 124)]"
"[(84, 90)]","[(24, 31), (33, 38), (56, 61)]"
"[(0, 3)]","[(0, 3), (24, 35)]"
"[(32, 37), (55, 59)]","[(15, 21), (39, 44), (68, 72), (86, 89)]"
[],"[(46, 50), (52, 57)]"
"[(20, 23), (36, 39), (41, 47)]","[(13, 18), (41, 47)]"
"[(49, 57), (104, 112)]","[(0, 18), (20, 26), (49, 86)]"
[],"[(0, 5), (12, 15), (53, 59)]"
"[(7, 10), (18, 23)]","[(0, 5), (18, 23), (45, 55)]"
"[(34, 38), (83, 89)]","[(52, 58), (70, 73), (83, 89)]"
"[(43, 47)]","[(30, 32), (49, 59), (75, 78)]"
"[(22, 25)]","[(0, 5), (15, 20), (81, 89)]"
"[(22, 27)]","[(29, 34), (44, 55)]"
"[(76, 79), (95, 99)]","[(0, 3), (18, 26), (56, 60), (89, 93)]"
"[(0, 8)]","[(58, 65), (78, 89), (102, 104)]"
"[(11, 14), (72, 76)]","[(0, 4), (26, 29), (59, 64)]"
[],"[(8, 18), (26, 32)]"
"[(19, 27), (47, 51)]","[(0, 12), (19, 27)]"
[],"[(0, 5), (40, 44), (79, 90)]"
"[(60, 62), (113, 119), (121, 127)]","[(6, 11), (6, 17)]"
"[(31, 34), (57, 59), (61, 64)]","[(24, 34), (78, 87)]"
[],"[(0, 6), (15, 25), (35, 49)]"
"[(6, 10), (51, 55), (57, 64), (112, 116), (127, 131)]","[(0, 4), (37, 41)]"
"[(31, 37), (77, 83)]","[(14, 19), (77, 83), (106, 115)]"
"[(0, 3)]","[(0, 5), (21, 31), (66, 69), (95, 111)]"
[],"[(14, 36), (38, 44), (82, 86)]"
"[(14, 15), (44, 50), (52, 58)]","[(0, 6), (52, 58), (68, 71)]"
"[(15, 18)]","[(4, 7), (9, 13)]"
"[(0, 7), (9, 12), (56, 61), (63, 71), (93, 100)]","[(18, 23), (56, 61), (81, 84)]"
"[(54, 59), (61, 68)]","[(34, 52), (54, 79), (101, 105), (113, 142)]"
[],"[(12, 15), (17, 22)]"
"[(50, 60)]","[(24, 29), (71, 77)]"
"[(43, 48), (50, 54), (53, 53)]","[(11, 41), (72, 78)]"
"[(38, 41), (53, 59), (92, 98), (116, 119)]","[(28, 31), (43, 46), (53, 59)]"
"[(30, 32), (54, 59)]","[(8, 11), (30, 32), (44, 52)]"
"[(0, 3), (20, 25), (54, 60), (62, 68)]","[(20, 25), (62, 68), (98, 111)]"
"[(33, 38), (43, 45)]","[(5, 14), (27, 31), (33, 38)]"
[],"[(13, 21), (30, 40)]"
[],"[(5, 8), (43, 50)]"
"[(14, 19)]","[(7, 12), (21, 25), (32, 34), (45, 49)]"
[],"[(8, 13), (25, 28)]"
"[(26, 33), (132, 141)]","[(35, 54), (76, 82), (104, 115)]"
"[(49, 54), (89, 92)]","[(0, 6), (89, 92)]"
"[(118, 120)]","[(23, 28), (91, 96), (113, 116)]"
[],"[(28, 32), (34, 39), (41, 44)]"
"[(29, 31)]","[(0, 6), (44, 50)]"
"[(0, 6)]","[(0, 6), (14, 17), (43, 46)]"
"[(6, 10), (32, 36), (54, 63)]","[(32, 36), (38, 43), (54, 63)]"
"[(84, 88)]","[(0, 6), (74, 76), (78, 82), (96, 110)]"
"[(42, 46)]","[(14, 19), (21, 24), (42, 46)]"
"[(4, 14)]","[(40, 42), (95, 101)]"
"[(0, 6), (24, 28), (30, 34)]","[(0, 14), (30, 34)]"
"[(137, 143)]","[(13, 16), (37, 42)]"
"[(25, 31)]","[(0, 4), (10, 17)]"
"[(17, 24), (48, 53)]","[(0, 4), (33, 41), (43, 53), (63, 67)]"
"[(20, 26)]","[(0, 6), (53, 59)]"
[],"[(13, 16), (25, 34), (41, 48), (50, 53)]"
[],"[(0, 5), (34, 38)]"
"[(12, 14), (32, 37)]","[(0, 10), (32, 37), (69, 72), (91, 94)]"
[],"[(4, 21), (23, 32), (57, 61)]"
"[(0, 8), (10, 13), (32, 42), (73, 78)]","[(25, 30), (73, 78)]"
[],"[(0, 3), (11, 19)]"
[],"[(13, 17), (25, 32), (34, 37)]"
"[(38, 40), (38, 42), (91, 96), (118, 125)]","[(30, 36), (38, 40), (86, 89), (127, 130)]"
[],"[(7, 12), (53, 56)]"
"[(61, 71)]","[(26, 37), (39, 56)]"
"[(57, 63)]","[(0, 22), (45, 55), (65, 69)]"
"[(0, 4), (16, 24)]","[(0, 4), (31, 36)]"
"[(0, 10)]","[(0, 10), (37, 50), (91, 97)]"
"[(12, 17), (58, 66)]","[(24, 28), (53, 56), (89, 93)]"
[],"[(14, 20), (29, 33)]"
[],"[(25, 35), (42, 44), (137, 140)]"
"[(11, 11), (57, 64), (66, 72), (86, 89), (97, 106)]","[(28, 35), (91, 95)]"
"[(51, 55), (131, 133)]","[(5, 16), (45, 49), (124, 129)]"
"[(44, 50)]","[(0, 7), (34, 37)]"
"[(6, 6), (21, 23)]","[(47, 51), (74, 79)]"
"[(35, 39)]","[(0, 3), (13, 24), (54, 58), (103, 109)]"
"[(38, 42)]","[(59, 63), (65, 70)]"
"[(25, 28)]","[(0, 9), (37, 46), (71, 84)]"
"[(3, 5), (41, 47)]","[(7, 13), (25, 34), (41, 52), (75, 78)]"
"[(28, 35), (37, 44), (81, 89)]","[(9, 13), (22, 26), (51, 54), (56, 58)]"
"[(31, 33), (37, 40), (56, 58)]","[(0, 3), (8, 14)]"
"[(36, 41)]","[(43, 46), (48, 51)]"
"[(14, 23), (25, 31), (33, 36), (61, 63)]","[(56, 59), (73, 78)]"
[],"[(0, 8), (19, 30), (32, 38), (48, 53), (55, 72), (104, 109)]"
"[(24, 29)]","[(0, 4), (24, 29)]"
[],"[(19, 21), (30, 34), (52, 56)]"
[],"[(26, 30), (32, 38)]"
"[(9, 12)]","[(14, 20), (22, 25), (27, 34), (41, 44)]"
[],"[(5, 11), (13, 16), (18, 22), (24, 29), (31, 34)]"
[],"[(0, 5), (37, 43)]"
[],"[(30, 38), (50, 56), (63, 69)]"
"[(7, 10), (17, 27), (39, 45)]","[(32, 37), (53, 65), (78, 82)]"
"[(45, 51), (92, 97), (125, 129), (175, 177)]","[(23, 30), (78, 83), (85, 103), (117, 129)]"
"[(0, 5), (13, 13), (35, 40)]","[(0, 5), (42, 46), (52, 58)]"
[],"[(27, 30), (54, 56), (66, 69)]"
"[(34, 38)]","[(8, 15), (40, 49), (56, 60)]"
"[(59, 64), (66, 74)]","[(5, 27), (48, 57), (82, 99)]"
[],"[(8, 12), (28, 35)]"
[],"[(0, 4), (19, 24), (36, 38)]"
"[(19, 25), (46, 54), (72, 75)]","[(19, 25), (56, 61), (63, 68)]"
"[(102, 107)]","[(79, 86), (120, 122)]"
"[(20, 23)]","[(0, 4), (20, 23), (34, 38), (80, 90)]"
"[(23, 29), (56, 65), (107, 111)]","[(0, 5), (85, 88)]"
[],"[(20, 26), (51, 60)]"
"[(77, 79)]","[(46, 53), (63, 75)]"
"[(55, 57)]","[(14, 17), (50, 53)]"
[],"[(0, 6), (31, 44)]"
"[(80, 84)]","[(61, 70), (105, 109)]"
"[(43, 46), (60, 65), (84, 89)]","[(6, 24), (33, 36), (55, 65), (84, 95), (120, 123)]"
"[(11, 15)]","[(11, 15), (23, 31), (37, 44)]"
"[(13, 15), (47, 52)]","[(34, 44), (47, 52)]"
"[(47, 49)]","[(20, 29), (31, 40), (51, 59)]"
"[(16, 27), (47, 51)]","[(0, 6), (59, 62)]"
"[(5, 10), (44, 49)]","[(0, 3), (44, 49)]"
[],"[(0, 6), (30, 34), (36, 40)]"
"[(45, 48)]","[(0, 5), (28, 31), (33, 37), (50, 53), (55, 60)]"
"[(7, 18)]","[(0, 5), (28, 31), (33, 37)]"
"[(6, 9)]","[(6, 9), (15, 24)]"
"[(62, 65)]","[(28, 31), (49, 52), (54, 60)]"
"[(28, 30), (56, 59)]","[(3, 9), (39, 44), (51, 54), (102, 107)]"
"[(16, 21)]","[(28, 32), (42, 48)]"
"[(157, 162)]","[(5, 8), (50, 59), (61, 70)]"
"[(0, 7)]","[(9, 18), (35, 40)]"
"[(17, 20)]","[(11, 15), (17, 20), (43, 71)]"
"[(130, 131)]","[(44, 48), (61, 66), (86, 91)]"
"[(18, 23)]","[(16, 29), (31, 35)]"
"[(22, 26)]","[(0, 3), (36, 39), (41, 45)]"
"[(0, 4), (11, 16)]","[(0, 4), (18, 22), (36, 39)]"
"[(43, 50), (67, 69)]","[(10, 19), (21, 35), (37, 50), (62, 79)]"
"[(26, 31), (55, 60), (116, 120)]","[(14, 18), (33, 36), (101, 104)]"
"[(10, 13), (86, 91)]","[(40, 43), (62, 74), (76, 84), (109, 115)]"
"[(17, 23), (34, 36), (44, 47), (49, 52)]","[(0, 4), (17, 23)]"
"[(10, 15), (58, 63), (103, 107)]","[(17, 33), (47, 51)]"
[],"[(56, 62), (66, 76)]"
"[(61, 66), (85, 88), (100, 101), (103, 111)]","[(10, 14), (28, 37), (68, 73), (136, 141), (148, 156)]"
"[(6, 11), (51, 53), (74, 76)]","[(13, 17), (31, 35), (86, 89)]"
"[(0, 6)]","[(8, 21), (27, 33), (35, 41)]"
"[(5, 9)]","[(11, 15), (21, 24), (36, 39)]"
"[(30, 35)]","[(8, 12), (37, 40)]"
[],"[(6, 11), (13, 17), (28, 33)]"
[],"[(21, 27), (62, 70)]"
[],"[(0, 3), (19, 24), (69, 75)]"
[],"[(14, 19), (88, 91)]"
"[(14, 19)]","[(10, 12), (14, 19)]"
"[(0, 2), (4, 10)]","[(16, 28), (53, 56)]"
"[(41, 46), (101, 106), (116, 119)]","[(11, 16), (79, 83), (116, 119)]"
"[(0, 7), (16, 19)]","[(9, 14), (26, 30), (62, 65)]"
"[(40, 44)]","[(63, 69), (136, 138)]"
"[(7, 11), (85, 90)]","[(0, 11), (27, 33), (60, 64), (81, 90)]"
[],"[(8, 13), (32, 36)]"
"[(35, 38)]","[(0, 6), (21, 27), (40, 42)]"
"[(8, 8)]","[(55, 61), (73, 79)]"
"[(0, 5)]","[(12, 15), (25, 29), (59, 66)]"
[],"[(0, 7), (58, 68)]"
"[(47, 50), (69, 77), (85, 88), (129, 138), (148, 152)]","[(140, 146), (159, 162)]"
[],"[(36, 41), (76, 79)]"
"[(26, 31)]","[(0, 7), (45, 56), (86, 89)]"
"[(0, 9), (42, 45)]","[(22, 29), (42, 50)]"
"[(41, 47)]","[(5, 10), (58, 61)]"
"[(8, 13), (55, 60)]","[(0, 6), (47, 60), (69, 74)]"
"[(74, 79)]","[(7, 15), (28, 49), (51, 62)]"
"[(42, 47), (78, 82)]","[(5, 15), (70, 76)]"
"[(19, 26), (64, 67)]","[(5, 8), (28, 36), (38, 67)]"
"[(5, 9), (50, 58)]","[(0, 9), (44, 48), (60, 70)]"
"[(35, 38), (58, 62), (72, 77), (79, 82)]","[(58, 62), (79, 82)]"
"[(0, 7), (30, 33)]","[(0, 17), (50, 60), (66, 77)]"
"[(14, 16), (55, 58)]","[(8, 12), (30, 35), (55, 63)]"
"[(0, 3), (5, 14), (56, 65), (67, 70)]","[(26, 30), (39, 42), (44, 48)]"
"[(24, 24), (31, 33), (68, 71)]","[(0, 6), (46, 51)]"
"[(5, 9)]","[(0, 3), (21, 27)]"
"[(49, 58), (77, 85), (113, 118)]","[(60, 66), (68, 85), (113, 124), (183, 187)]"
[],"[(58, 64), (72, 77)]"
"[(49, 57), (106, 111), (131, 134)]","[(15, 20), (44, 47), (136, 146)]"
[],"[(5, 10), (12, 16)]"
"[(47, 51)]","[(32, 37), (39, 45)]"
"[(0, 5), (33, 39), (49, 52), (117, 121), (123, 126)]","[(80, 83), (100, 105), (123, 126)]"
"[(28, 31)]","[(28, 31), (33, 39), (41, 45)]"
"[(9, 12)]","[(0, 7), (34, 38), (52, 55)]"
"[(5, 8), (20, 30), (65, 70)]","[(20, 30), (32, 38), (40, 53)]"
[],"[(19, 26), (37, 49)]"
"[(52, 58), (111, 114)]","[(32, 36), (60, 68)]"
"[(0, 7), (9, 17)]","[(19, 24), (65, 68)]"
[],"[(0, 7), (30, 44)]"
"[(7, 14)]","[(0, 5), (45, 49)]"
[],"[(0, 6), (21, 27)]"
"[(7, 12), (32, 35), (45, 46), (57, 60)]","[(0, 5), (32, 35), (57, 60)]"
[],"[(0, 10), (25, 27)]"
"[(7, 15), (37, 40)]","[(7, 15), (37, 40)]"
"[(26, 31)]","[(26, 31), (51, 65)]"
[],"[(0, 10), (19, 25), (34, 37)]"
[],"[(59, 63), (70, 74), (76, 83), (85, 91)]"
"[(49, 53), (68, 72)]","[(74, 79), (102, 105)]"
"[(9, 13)]","[(0, 7), (15, 17), (51, 55)]"
"[(21, 28), (39, 46), (48, 54)]","[(15, 19), (48, 54)]"
"[(45, 52)]","[(9, 15), (84, 89), (109, 113)]"
[],"[(10, 20), (42, 45)]"
"[(5, 10)]","[(0, 10), (16, 28)]"
[],"[(10, 14), (51, 57)]"
"[(25, 30)]","[(16, 21), (44, 47)]"
[],"[(6, 10), (38, 43), (52, 56)]"
"[(36, 40), (48, 51)]","[(42, 46), (90, 95)]"
"[(16, 20)]","[(0, 6), (44, 47)]"
"[(8, 13), (86, 90), (92, 96), (102, 104), (125, 127)]","[(8, 13), (86, 90), (102, 104), (131, 135)]"
[],"[(0, 7), (48, 51)]"
"[(30, 32), (34, 39), (41, 43), (53, 64)]","[(9, 14), (66, 72)]"
"[(12, 18)]","[(4, 6), (28, 31)]"
"[(8, 12), (14, 21), (53, 59)]","[(23, 30), (48, 51), (67, 75)]"
"[(26, 29), (71, 71), (73, 76)]","[(0, 5), (31, 35), (50, 56), (78, 81)]"
"[(5, 9)]","[(5, 9), (13, 17)]"
[],"[(5, 9), (24, 33), (46, 49)]"
[],"[(0, 4), (30, 33)]"
"[(28, 32)]","[(13, 17), (60, 63)]"
[],"[(6, 9), (40, 44), (61, 64)]"
[],"[(0, 4), (11, 21), (35, 42)]"
"[(10, 16)]","[(0, 3), (23, 27), (54, 62)]"
[],"[(0, 5), (37, 41)]"
"[(78, 81), (83, 85)]","[(6, 9), (26, 33)]"
"[(10, 14), (16, 18), (34, 43), (45, 52), (54, 57), (71, 77), (149, 158)]","[(16, 32), (95, 101), (107, 121)]"
"[(21, 29), (31, 37), (99, 111)]","[(0, 5), (50, 54)]"
"[(41, 47), (62, 65)]","[(85, 90), (110, 113)]"
"[(16, 21)]","[(30, 33), (52, 57)]"
"[(75, 83)]","[(28, 33), (65, 69), (75, 83)]"
"[(0, 9)]","[(0, 9), (26, 30), (32, 37)]"
"[(27, 33)]","[(35, 41), (43, 47), (74, 83)]"
[],"[(0, 3), (22, 26), (28, 31)]"
"[(32, 36), (95, 98)]","[(20, 30), (32, 36), (56, 61), (81, 85)]"
"[(46, 50), (52, 61)]","[(20, 28), (40, 44), (63, 69)]"
[],"[(11, 20), (43, 46)]"
[],"[(5, 11), (20, 23)]"
[],"[(38, 44), (60, 68)]"
"[(22, 30), (58, 61)]","[(17, 20), (22, 30)]"
"[(33, 36)]","[(5, 8), (10, 11), (26, 31), (43, 46), (52, 56)]"
"[(42, 46)]","[(8, 16), (18, 26), (28, 40)]"
"[(74, 81), (89, 95)]","[(9, 12), (33, 38), (46, 50), (67, 72)]"
[],"[(0, 5), (14, 17), (71, 77), (79, 81)]"
[],"[(0, 9), (42, 47), (49, 53)]"
"[(0, 9), (26, 29), (58, 61)]","[(49, 56), (68, 74), (86, 93), (112, 118), (120, 130), (149, 152)]"
"[(0, 2)]","[(4, 9), (25, 31)]"
"[(13, 19), (21, 25)]","[(6, 11), (13, 19)]"
"[(71, 74), (76, 81)]","[(0, 6), (14, 17), (55, 59)]"
"[(0, 6)]","[(13, 17), (34, 40)]"
[],"[(9, 14), (34, 42), (47, 52)]"
[],"[(8, 20), (40, 46), (55, 56)]"
"[(0, 4)]","[(6, 13), (60, 64), (72, 76)]"
"[(11, 14)]","[(16, 22), (64, 71), (79, 82)]"
"[(37, 41)]","[(37, 41), (60, 64)]"
"[(25, 28), (48, 51)]","[(0, 5), (41, 51)]"
"[(36, 40)]","[(0, 9), (59, 67)]"
"[(21, 25), (38, 43), (74, 79)]","[(10, 15), (64, 79)]"
"[(31, 34)]","[(18, 21), (48, 53)]"
[],"[(0, 5), (36, 40)]"
"[(69, 74)]","[(28, 31), (51, 54)]"
[],"[(0, 5), (19, 22)]"
"[(0, 4), (18, 20), (22, 26)]","[(0, 4), (22, 26), (28, 30)]"
"[(23, 32), (40, 43)]","[(0, 5), (55, 61)]"
