Predicted idx,Gold idx
[],"[(40, 48)]"
"[(10, 18), (46, 56)]","[(0, 8)]"
[],"[(14, 17)]"
"[(0, 4)]","[(0, 4)]"
"[(2, 4), (49, 51), (58, 63)]","[(10, 14)]"
[],"[(0, 3), (6, 11), (52, 58)]"
"[(38, 41), (49, 61)]","[(43, 47)]"
[],"[(0, 12)]"
[],"[(8, 20)]"
"[(5, 7), (13, 19)]","[(13, 25)]"
[],"[(12, 16), (23, 27), (29, 34)]"
[],"[(32, 41)]"
[],"[(0, 4)]"
[],"[(20, 27)]"
[],"[(0, 4)]"
[],"[(0, 20)]"
[],"[(6, 10), (18, 21)]"
"[(5, 8)]","[(18, 20)]"
"[(32, 39)]","[(6, 9), (23, 30), (41, 47)]"
[],"[(8, 11)]"
[],"[(0, 3)]"
"[(12, 18)]","[(0, 10)]"
"[(0, 9)]","[(0, 9)]"
"[(40, 43)]","[(0, 6), (18, 25)]"
"[(0, 4), (12, 20)]","[(22, 26)]"
"[(6, 9)]","[(6, 9), (19, 28)]"
"[(0, 3)]","[(5, 9)]"
"[(6, 9), (13, 16), (45, 52), (57, 60)]","[(6, 9), (13, 32)]"
[],"[(19, 27)]"
"[(7, 15)]","[(0, 5), (25, 28)]"
"[(0, 9)]","[(11, 15)]"
"[(5, 9)]","[(11, 16), (18, 23), (31, 34)]"
[],"[(9, 19)]"
"[(11, 14)]","[(16, 20)]"
"[(0, 4), (28, 37), (45, 48)]","[(28, 37)]"
"[(0, 3), (5, 10)]","[(5, 16)]"
"[(16, 20)]","[(5, 9), (5, 9)]"
[],"[(9, 19)]"
"[(19, 24)]","[(0, 17)]"
"[(10, 10)]","[(5, 8)]"
"[(0, 0), (30, 31)]","[(16, 21)]"
"[(14, 16), (32, 36)]","[(0, 5), (28, 43), (45, 48)]"
[],"[(8, 11)]"
"[(5, 8)]","[(22, 28)]"
[],"[(27, 35), (37, 44)]"
"[(0, 0), (7, 13), (37, 44)]","[(7, 19)]"
"[(15, 21)]","[(5, 13), (15, 26), (41, 47)]"
"[(0, 3)]","[(0, 3)]"
"[(4, 7)]","[(29, 35)]"
[],"[(0, 4), (16, 25)]"
[],"[(0, 9)]"
"[(0, 4)]","[(0, 4), (14, 17)]"
"[(11, 14), (23, 25), (37, 41)]","[(37, 41)]"
[],"[(16, 23)]"
[],"[(39, 43)]"
[],"[(0, 11)]"
[],"[(6, 9), (18, 26)]"
"[(0, 2)]","[(50, 56)]"
[],"[(6, 13)]"
[],"[(5, 9)]"
[],"[(36, 39)]"
[],"[(32, 42)]"
"[(19, 23)]","[(0, 9)]"
[],"[(7, 10)]"
[],"[(5, 8), (21, 27)]"
"[(37, 41), (65, 70)]","[(43, 46), (57, 63)]"
"[(52, 55)]","[(0, 8), (46, 50)]"
[],"[(7, 12)]"
[],"[(2, 6)]"
"[(6, 8), (44, 49), (85, 89), (156, 160), (162, 166), (238, 243)]","[(0, 4), (28, 31), (39, 42), (51, 63), (73, 78), (80, 83), (85, 89), (91, 101), (103, 105), (107, 114), (116, 124), (126, 135), (137, 142), (144, 150), (152, 160), (162, 166)]"
[],"[(4, 8)]"
"[(0, 4), (47, 56)]","[(65, 81)]"
[],"[(10, 13)]"
[],"[(0, 10)]"
[],"[(12, 16), (38, 44)]"
[],"[(4, 20), (22, 38), (51, 54)]"
[],"[(5, 20), (27, 31)]"
[],"[(30, 36), (42, 45)]"
"[(31, 35), (43, 47)]","[(31, 35)]"
"[(7, 10)]","[(26, 30)]"
"[(15, 22)]","[(15, 22), (29, 36)]"
[],"[(34, 38)]"
[],"[(0, 3), (15, 27)]"
"[(8, 12)]","[(14, 17)]"
[],"[(0, 6)]"
"[(48, 54), (62, 65)]","[(0, 41)]"
[],"[(0, 22)]"
[],"[(0, 11)]"
[],"[(6, 16)]"
[],"[(11, 17)]"
"[(26, 29)]","[(0, 3), (8, 14)]"
[],"[(18, 25)]"
"[(79, 86)]","[(5, 9)]"
[],"[(6, 10)]"
[],"[(14, 23), (32, 38)]"
[],"[(20, 26)]"
"[(12, 17), (52, 55), (99, 107)]","[(65, 74)]"
"[(0, 6), (38, 42)]","[(22, 29)]"
[],"[(26, 32)]"
"[(0, 3)]","[(5, 13)]"
"[(0, 0), (34, 37), (75, 79)]","[(64, 67)]"
"[(11, 14)]","[(5, 9)]"
"[(28, 33)]","[(6, 18), (20, 26), (35, 52)]"
[],"[(6, 10), (17, 23)]"
[],"[(7, 11), (24, 37)]"
[],"[(10, 21)]"
[],"[(30, 35), (41, 51)]"
"[(11, 16), (46, 50)]","[(0, 9), (36, 44)]"
"[(56, 67)]","[(23, 27), (34, 40)]"
"[(23, 31)]","[(13, 17), (52, 58)]"
[],"[(6, 14)]"
[],"[(15, 23)]"
[],"[(0, 3), (21, 31)]"
[],"[(5, 13)]"
[],"[(0, 16)]"
"[(30, 33)]","[(5, 16)]"
[],"[(0, 7)]"
"[(11, 19)]","[(0, 4)]"
"[(48, 53)]","[(0, 4), (30, 35), (48, 53)]"
[],"[(5, 22)]"
[],"[(0, 8)]"
"[(37, 40), (47, 51), (85, 87), (97, 101)]","[(22, 29), (89, 95), (97, 101)]"
[],"[(7, 31)]"
"[(5, 10)]","[(17, 26)]"
"[(0, 6)]","[(8, 14)]"
"[(26, 30)]","[(2, 6), (2, 6), (84, 93)]"
[],"[(15, 24)]"
[],"[(26, 32)]"
[],"[(0, 3), (40, 49), (40, 49)]"
"[(35, 39)]","[(26, 33)]"
"[(0, 6), (13, 16), (34, 38)]","[(18, 21), (34, 43)]"
"[(43, 49), (55, 59)]","[(8, 41), (51, 59), (67, 77)]"
"[(44, 49)]","[(6, 12), (6, 12)]"
[],"[(0, 13)]"
"[(16, 19)]","[(6, 19)]"
"[(6, 8)]","[(0, 21)]"
[],"[(9, 13), (9, 13)]"
[],"[(5, 20)]"
"[(2, 9), (26, 33)]","[(26, 57), (67, 70), (102, 117)]"
"[(22, 25), (83, 90), (92, 100), (102, 105)]","[(22, 25), (27, 42)]"
"[(35, 42), (44, 49)]","[(35, 42)]"
"[(68, 72)]","[(19, 25)]"
"[(51, 57), (67, 72), (83, 85), (87, 91)]","[(0, 6)]"
[],"[(21, 25)]"
"[(0, 3)]","[(0, 3), (0, 3)]"
"[(6, 12)]","[(6, 12)]"
[],"[(5, 18)]"
"[(15, 19)]","[(0, 13)]"
"[(15, 18)]","[(28, 41)]"
[],"[(34, 36)]"
"[(20, 22)]","[(5, 18)]"
"[(41, 45)]","[(41, 59)]"
"[(19, 25)]","[(19, 48)]"
"[(31, 37)]","[(0, 6)]"
[],"[(6, 14)]"
[],"[(8, 12), (15, 28), (30, 35), (37, 50), (64, 67)]"
[],"[(0, 6), (22, 26)]"
[],"[(26, 30)]"
[],"[(18, 24)]"
[],"[(54, 57)]"
"[(25, 29), (88, 93)]","[(0, 4), (31, 40), (72, 81)]"
[],"[(3, 12)]"
"[(0, 0)]","[(20, 46)]"
"[(0, 5)]","[(30, 39)]"
"[(34, 36), (80, 85), (96, 101)]","[(0, 4), (44, 65)]"
"[(4, 12)]","[(4, 29)]"
[],"[(9, 15)]"
[],"[(7, 15)]"
"[(2, 3), (34, 38)]","[(0, 9)]"
[],"[(0, 4)]"
"[(5, 10), (36, 38), (55, 60)]","[(19, 34), (36, 53)]"
[],"[(75, 79)]"
"[(0, 5), (7, 13)]","[(0, 5), (37, 42)]"
[],"[(0, 5)]"
"[(14, 15)]","[(26, 35)]"
"[(36, 39)]","[(5, 8), (15, 18)]"
"[(20, 23)]","[(0, 5), (20, 23)]"
[],"[(15, 27)]"
"[(27, 36)]","[(0, 5), (22, 25)]"
"[(0, 3)]","[(9, 22)]"
"[(25, 30)]","[(41, 44)]"
[],"[(5, 8), (5, 8)]"
[],"[(7, 10)]"
[],"[(9, 19)]"
"[(0, 0), (42, 46)]","[(24, 33)]"
[],"[(0, 4), (16, 20)]"
"[(42, 49)]","[(18, 27), (37, 40)]"
[],"[(29, 33), (44, 50)]"
[],"[(22, 34)]"
"[(6, 10), (23, 31), (41, 48)]","[(41, 47)]"
[],"[(19, 22)]"
[],"[(0, 6), (19, 22)]"
[],"[(0, 6)]"
"[(0, 2)]","[(4, 17)]"
"[(41, 48)]","[(0, 6), (13, 17)]"
[],"[(0, 3)]"
[],"[(0, 4)]"
"[(11, 15)]","[(0, 9)]"
"[(19, 25)]","[(19, 25)]"
[],"[(8, 11)]"
[],"[(5, 8)]"
[],"[(42, 46)]"
[],"[(0, 4)]"
"[(11, 13), (52, 59), (61, 66)]","[(47, 50)]"
"[(42, 56)]","[(16, 34)]"
"[(24, 27)]","[(12, 22), (36, 40)]"
[],"[(2, 11)]"
"[(23, 29)]","[(10, 27)]"
[],"[(0, 6)]"
"[(0, 6), (54, 57)]","[(0, 6), (18, 23), (54, 57)]"
"[(0, 0), (64, 68), (70, 76)]","[(38, 47)]"
"[(25, 33)]","[(0, 3)]"
[],"[(0, 4)]"
"[(44, 48)]","[(12, 15), (27, 31), (33, 42), (58, 63)]"
[],"[(0, 5)]"
[],"[(6, 16)]"
"[(66, 70)]","[(5, 9)]"
"[(0, 9), (27, 30)]","[(27, 30)]"
"[(41, 46)]","[(0, 5)]"
"[(6, 10)]","[(0, 4)]"
"[(10, 18)]","[(10, 18)]"
"[(0, 0), (16, 19)]","[(2, 10)]"
"[(29, 33), (35, 40)]","[(0, 4)]"
[],"[(4, 10)]"
[],"[(0, 3)]"
[],"[(0, 6)]"
[],"[(5, 18)]"
[],"[(0, 8), (22, 33)]"
[],"[(0, 14)]"
"[(13, 19)]","[(27, 33)]"
[],"[(6, 10)]"
"[(19, 28), (30, 33)]","[(30, 33)]"
"[(0, 6)]","[(0, 6), (60, 65)]"
"[(5, 8), (23, 30)]","[(0, 3), (10, 21)]"
"[(0, 6), (25, 28)]","[(0, 6)]"
[],"[(7, 11)]"
"[(21, 28)]","[(21, 28)]"
"[(9, 13), (15, 17), (19, 24), (40, 46), (74, 78), (80, 88)]","[(0, 7)]"
[],"[(0, 4)]"
[],"[(0, 9), (20, 24)]"
"[(40, 43), (50, 57)]","[(0, 7), (15, 43)]"
[],"[(11, 17)]"
"[(108, 111)]","[(13, 18), (13, 18), (108, 111)]"
[],"[(28, 39)]"
"[(42, 49)]","[(70, 74)]"
"[(16, 20)]","[(22, 25)]"
"[(0, 6), (18, 26)]","[(0, 6), (0, 6)]"
"[(36, 42)]","[(0, 6)]"
"[(72, 79)]","[(0, 3), (15, 17)]"
"[(57, 60)]","[(57, 60)]"
"[(45, 51), (66, 69), (78, 83)]","[(27, 33), (35, 51), (53, 64), (66, 73)]"
[],"[(36, 48)]"
"[(0, 2), (70, 77), (91, 94)]","[(49, 58)]"
[],"[(36, 39), (58, 60)]"
"[(0, 4), (12, 17), (19, 24)]","[(26, 31)]"
"[(110, 114), (151, 156), (172, 175), (195, 202)]","[(50, 66), (99, 114), (151, 161), (191, 202), (242, 253)]"
[],"[(33, 58)]"
"[(8, 17)]","[(0, 6)]"
"[(23, 29)]","[(15, 41), (54, 85), (93, 102)]"
[],"[(17, 21)]"
"[(27, 36), (63, 68), (92, 96), (98, 101)]","[(0, 5), (76, 78)]"
[],"[(15, 27)]"
[],"[(11, 14)]"
