Predicted idx,Gold idx
"[(0, 6), (23, 27), (29, 33)]","[(8, 21), (35, 41), (52, 60)]"
"[(34, 38)]","[(0, 3), (19, 24)]"
"[(13, 15), (44, 46)]","[(44, 46), (64, 67)]"
"[(8, 12), (60, 64)]","[(24, 34), (53, 58), (60, 64)]"
[],"[(43, 48), (67, 71)]"
"[(6, 9), (52, 57)]","[(21, 27), (41, 44)]"
"[(31, 36)]","[(5, 12), (18, 22), (62, 67)]"
"[(0, 6), (20, 25), (38, 41)]","[(0, 6), (27, 30), (38, 49)]"
"[(6, 9), (11, 16), (14, 16), (18, 22)]","[(24, 30), (54, 57)]"
"[(0, 4), (41, 45), (47, 48), (56, 60)]","[(15, 24), (37, 39)]"
"[(14, 19), (35, 39)]","[(28, 33), (60, 65)]"
"[(32, 37)]","[(24, 30), (32, 37)]"
"[(44, 47), (49, 53)]","[(0, 20), (27, 37), (39, 47)]"
"[(0, 6), (8, 13), (36, 43)]","[(0, 6), (20, 25)]"
"[(5, 15), (41, 45)]","[(27, 34), (47, 51)]"
[],"[(0, 6), (8, 14), (24, 27)]"
"[(68, 71)]","[(35, 39), (62, 66), (68, 71)]"
"[(25, 29), (51, 54)]","[(25, 29), (43, 49), (51, 54)]"
[],"[(11, 17), (19, 23)]"
"[(44, 47)]","[(0, 10), (19, 25)]"
"[(6, 10)]","[(6, 10), (12, 16)]"
"[(15, 21), (52, 55)]","[(23, 27), (33, 40)]"
[],"[(14, 19), (28, 31)]"
[],"[(0, 10), (46, 53)]"
"[(39, 42), (54, 54), (62, 65)]","[(31, 42), (48, 52)]"
"[(12, 20), (27, 31)]","[(22, 25), (38, 42)]"
[],"[(0, 5), (37, 40)]"
[],"[(0, 4), (13, 16)]"
"[(21, 26)]","[(0, 3), (5, 10)]"
[],"[(0, 3), (12, 18)]"
"[(18, 27), (41, 45), (52, 56)]","[(0, 5), (18, 27), (29, 33), (65, 74)]"
[],"[(19, 24), (57, 60)]"
[],"[(0, 3), (5, 9)]"
"[(31, 36), (44, 49), (61, 65)]","[(12, 16), (20, 24), (51, 59)]"
"[(39, 42)]","[(12, 17), (39, 42)]"
"[(11, 16), (18, 21)]","[(0, 9), (38, 40)]"
"[(51, 51), (53, 60)]","[(0, 11), (35, 49)]"
"[(13, 16), (38, 41), (43, 46), (48, 51)]","[(38, 41), (48, 51)]"
"[(12, 17), (24, 30)]","[(5, 22), (46, 56)]"
"[(0, 5)]","[(30, 34), (42, 48), (69, 74)]"
"[(17, 21), (30, 35)]","[(17, 21), (37, 40)]"
"[(34, 34), (47, 50)]","[(24, 29), (41, 45)]"
[],"[(0, 9), (31, 34)]"
"[(10, 21), (23, 32), (52, 55)]","[(0, 8), (70, 75)]"
[],"[(0, 3), (14, 19)]"
"[(4, 10), (38, 44)]","[(19, 36), (59, 69)]"
[],"[(0, 6), (28, 33)]"
"[(0, 4), (6, 9)]","[(0, 4), (11, 24)]"
"[(49, 51), (58, 62), (64, 72)]","[(43, 47), (58, 62), (64, 72)]"
"[(0, 9), (11, 14)]","[(0, 9), (30, 37), (52, 55)]"
[],"[(17, 21), (46, 56)]"
"[(4, 9), (34, 36), (38, 42)]","[(4, 9), (52, 55)]"
"[(20, 25)]","[(6, 13), (27, 32), (42, 45)]"
"[(64, 68)]","[(0, 3), (5, 16), (18, 22), (24, 32)]"
"[(0, 7), (9, 12)]","[(0, 7), (14, 17), (39, 42)]"
[],"[(23, 28), (34, 39), (46, 52)]"
"[(23, 26)]","[(28, 30), (41, 44)]"
[],"[(21, 25), (33, 39)]"
"[(30, 35)]","[(5, 10), (19, 23), (30, 42)]"
"[(18, 23), (25, 32), (34, 37), (39, 43)]","[(7, 11), (13, 23), (45, 56)]"
[],"[(14, 18), (29, 32)]"
"[(36, 39)]","[(15, 20), (36, 45)]"
[],"[(0, 3), (24, 35)]"
[],"[(0, 5), (12, 15), (53, 59)]"
"[(45, 48)]","[(0, 5), (18, 23), (45, 55)]"
"[(68, 73)]","[(29, 34), (44, 55)]"
[],"[(0, 4), (26, 29), (59, 64)]"
"[(8, 18), (20, 24), (26, 32)]","[(8, 18), (26, 32)]"
"[(38, 42), (53, 59)]","[(0, 12), (19, 27)]"
"[(0, 6), (15, 19), (35, 40), (64, 69)]","[(0, 6), (15, 25), (35, 49)]"
"[(82, 87)]","[(14, 36), (38, 44), (82, 86)]"
"[(0, 2), (4, 7), (35, 36), (45, 50)]","[(4, 7), (9, 13)]"
"[(29, 38)]","[(12, 15), (17, 22)]"
"[(62, 69)]","[(24, 29), (71, 77)]"
"[(0, 6), (20, 24)]","[(8, 11), (30, 32), (44, 52)]"
"[(33, 38)]","[(5, 14), (27, 31), (33, 38)]"
"[(35, 40)]","[(13, 21), (30, 40)]"
"[(5, 8), (12, 17), (32, 41)]","[(5, 8), (43, 50)]"
"[(0, 1), (27, 30), (32, 34)]","[(7, 12), (21, 25), (32, 34), (45, 49)]"
"[(20, 23)]","[(8, 13), (25, 28)]"
"[(12, 16), (41, 44)]","[(28, 32), (34, 39), (41, 44)]"
"[(8, 12), (14, 17)]","[(0, 6), (14, 17), (43, 46)]"
"[(6, 12), (42, 46)]","[(14, 19), (21, 24), (42, 46)]"
"[(24, 28)]","[(0, 14), (30, 34)]"
[],"[(0, 4), (10, 17)]"
"[(63, 67)]","[(0, 4), (33, 41), (43, 53), (63, 67)]"
"[(43, 51)]","[(0, 6), (53, 59)]"
"[(7, 12), (22, 26)]","[(0, 5), (34, 38)]"
"[(0, 2), (10, 14), (40, 44)]","[(4, 21), (23, 32), (57, 61)]"
"[(10, 13), (25, 30)]","[(25, 30), (73, 78)]"
[],"[(0, 3), (11, 19)]"
"[(34, 37), (52, 55)]","[(13, 17), (25, 32), (34, 37)]"
"[(7, 12)]","[(7, 12), (53, 56)]"
[],"[(26, 37), (39, 56)]"
"[(50, 55)]","[(0, 22), (45, 55), (65, 69)]"
"[(6, 14)]","[(0, 4), (31, 36)]"
[],"[(14, 20), (29, 33)]"
"[(24, 32)]","[(0, 7), (34, 37)]"
[],"[(0, 3), (8, 14)]"
"[(43, 46)]","[(43, 46), (48, 51)]"
"[(31, 37)]","[(0, 4), (24, 29)]"
"[(19, 21), (47, 50)]","[(19, 21), (30, 34), (52, 56)]"
"[(40, 47)]","[(26, 30), (32, 38)]"
"[(46, 47), (49, 56)]","[(14, 20), (22, 25), (27, 34), (41, 44)]"
"[(5, 11), (42, 54)]","[(5, 11), (13, 16), (18, 22), (24, 29), (31, 34)]"
[],"[(0, 5), (37, 43)]"
"[(0, 10), (12, 21), (23, 28), (63, 69), (71, 75)]","[(30, 38), (50, 56), (63, 69)]"
"[(0, 5), (17, 27)]","[(32, 37), (53, 65), (78, 82)]"
"[(0, 5), (7, 11), (60, 64)]","[(0, 5), (42, 46), (52, 58)]"
[],"[(8, 15), (40, 49), (56, 60)]"
"[(0, 6)]","[(8, 12), (28, 35)]"
[],"[(0, 4), (19, 24), (36, 38)]"
"[(28, 33)]","[(20, 26), (51, 60)]"
"[(34, 38)]","[(14, 17), (50, 53)]"
"[(0, 6), (8, 10), (25, 29)]","[(0, 6), (31, 44)]"
"[(7, 9), (17, 21), (23, 31)]","[(11, 15), (23, 31), (37, 44)]"
"[(0, 3), (20, 23)]","[(20, 29), (31, 40), (51, 59)]"
"[(64, 66)]","[(0, 6), (59, 62)]"
[],"[(0, 6), (30, 34), (36, 40)]"
"[(28, 31), (33, 37), (47, 53)]","[(0, 5), (28, 31), (33, 37)]"
[],"[(6, 9), (15, 24)]"
"[(20, 26), (33, 36)]","[(28, 31), (49, 52), (54, 60)]"
"[(42, 48)]","[(28, 32), (42, 48)]"
"[(26, 33)]","[(9, 18), (35, 40)]"
[],"[(16, 29), (31, 35)]"
[],"[(0, 4), (18, 22), (36, 39)]"
"[(43, 50), (52, 60)]","[(10, 19), (21, 35), (37, 50), (62, 79)]"
[],"[(8, 21), (27, 33), (35, 41)]"
[],"[(8, 12), (37, 40)]"
[],"[(6, 11), (13, 17), (28, 33)]"
"[(47, 52), (63, 67)]","[(0, 3), (19, 24), (69, 75)]"
"[(14, 19), (31, 35)]","[(10, 12), (14, 19)]"
"[(43, 51)]","[(16, 28), (53, 56)]"
[],"[(8, 13), (32, 36)]"
[],"[(0, 6), (21, 27), (40, 42)]"
"[(8, 8), (19, 19), (73, 79)]","[(55, 61), (73, 79)]"
"[(9, 12), (64, 68)]","[(0, 7), (58, 68)]"
"[(48, 50)]","[(36, 41), (76, 79)]"
[],"[(5, 10), (58, 61)]"
[],"[(0, 6), (47, 60), (69, 74)]"
"[(17, 26), (59, 62), (81, 87)]","[(7, 15), (28, 49), (51, 62)]"
"[(44, 48)]","[(0, 9), (44, 48), (60, 70)]"
"[(19, 25), (73, 78)]","[(0, 17), (50, 60), (66, 77)]"
"[(5, 14), (77, 81)]","[(26, 30), (39, 42), (44, 48)]"
"[(46, 51)]","[(0, 6), (46, 51)]"
"[(0, 3)]","[(0, 3), (21, 27)]"
"[(22, 24)]","[(58, 64), (72, 77)]"
[],"[(5, 10), (12, 16)]"
"[(34, 38), (40, 42), (44, 50)]","[(0, 7), (34, 38), (52, 55)]"
[],"[(19, 26), (37, 49)]"
"[(15, 22)]","[(0, 7), (30, 44)]"
"[(16, 23), (57, 60)]","[(0, 5), (45, 49)]"
[],"[(0, 6), (21, 27)]"
[],"[(0, 5), (32, 35), (57, 60)]"
[],"[(0, 10), (25, 27)]"
"[(37, 40), (62, 65)]","[(7, 15), (37, 40)]"
"[(3, 5), (20, 24)]","[(26, 31), (51, 65)]"
"[(12, 17)]","[(0, 10), (19, 25), (34, 37)]"
"[(38, 41)]","[(0, 7), (15, 17), (51, 55)]"
[],"[(15, 19), (48, 54)]"
"[(10, 15), (22, 26)]","[(10, 20), (42, 45)]"
[],"[(0, 10), (16, 28)]"
"[(59, 67)]","[(10, 14), (51, 57)]"
"[(16, 21)]","[(16, 21), (44, 47)]"
"[(12, 17), (52, 56)]","[(6, 10), (38, 43), (52, 56)]"
"[(28, 31), (33, 33), (35, 38), (48, 51), (53, 56)]","[(0, 7), (48, 51)]"
"[(4, 6), (28, 31)]","[(4, 6), (28, 31)]"
"[(11, 11)]","[(5, 9), (13, 17)]"
"[(6, 8)]","[(0, 4), (30, 33)]"
"[(34, 37), (45, 53), (60, 63)]","[(13, 17), (60, 63)]"
"[(28, 33)]","[(0, 4), (11, 21), (35, 42)]"
"[(5, 8), (54, 62)]","[(0, 3), (23, 27), (54, 62)]"
"[(24, 25)]","[(0, 5), (37, 41)]"
"[(16, 21)]","[(30, 33), (52, 57)]"
[],"[(0, 9), (26, 30), (32, 37)]"
"[(11, 17), (54, 60), (62, 65)]","[(35, 41), (43, 47), (74, 83)]"
"[(0, 4), (43, 46)]","[(11, 20), (43, 46)]"
[],"[(5, 11), (20, 23)]"
[],"[(5, 8), (10, 11), (26, 31), (43, 46), (52, 56)]"
[],"[(8, 16), (18, 26), (28, 40)]"
[],"[(0, 5), (14, 17), (71, 77), (79, 81)]"
"[(36, 40)]","[(0, 9), (42, 47), (49, 53)]"
"[(0, 2)]","[(4, 9), (25, 31)]"
"[(21, 25)]","[(6, 11), (13, 19)]"
"[(24, 27)]","[(0, 6), (14, 17), (55, 59)]"
"[(16, 19), (21, 21)]","[(9, 14), (34, 42), (47, 52)]"
"[(40, 46)]","[(8, 20), (40, 46), (55, 56)]"
"[(0, 3), (11, 14), (37, 39), (59, 62)]","[(16, 22), (64, 71), (79, 82)]"
"[(32, 35)]","[(37, 41), (60, 64)]"
"[(42, 48)]","[(0, 9), (59, 67)]"
"[(0, 2), (48, 53)]","[(18, 21), (48, 53)]"
"[(15, 19), (21, 21), (28, 34)]","[(0, 5), (36, 40)]"
[],"[(0, 5), (19, 22)]"
"[(22, 26), (46, 52)]","[(0, 4), (22, 26), (28, 30)]"
"[(63, 67)]","[(0, 5), (55, 61)]"
"[(16, 18), (33, 35)]","[(0, 4), (20, 22), (37, 42)]"
"[(5, 10), (18, 29)]","[(0, 3), (39, 45)]"
[],"[(27, 31), (38, 41)]"
"[(10, 13), (20, 25)]","[(0, 8), (20, 25)]"
"[(48, 54)]","[(0, 3), (48, 54)]"
[],"[(0, 3), (18, 24), (26, 29)]"
[],"[(0, 3), (17, 23)]"
"[(5, 8), (10, 16), (40, 46)]","[(0, 3), (40, 46), (48, 59)]"
"[(0, 7)]","[(9, 12), (19, 37), (67, 73)]"
[],"[(0, 5), (17, 31)]"
[],"[(0, 3), (15, 28)]"
"[(49, 52)]","[(0, 4), (22, 52), (54, 67), (69, 79)]"
"[(9, 15), (17, 21), (23, 27)]","[(0, 7), (35, 39), (48, 52)]"
[],"[(10, 19), (21, 23), (31, 42)]"
"[(0, 4), (6, 14)]","[(0, 4), (22, 35)]"
"[(46, 48)]","[(30, 37), (65, 69)]"
[],"[(0, 6), (14, 17)]"
[],"[(0, 6), (19, 25)]"
[],"[(0, 5), (17, 21)]"
"[(48, 51)]","[(7, 14), (37, 40), (42, 46)]"
"[(20, 23), (25, 27), (60, 65)]","[(0, 7), (29, 33), (60, 65)]"
"[(13, 17), (30, 36), (38, 41)]","[(0, 5), (43, 49), (79, 82)]"
"[(0, 3)]","[(0, 3), (38, 41)]"
"[(33, 38)]","[(0, 5), (40, 43)]"
"[(15, 24), (26, 29)]","[(5, 8), (26, 34)]"
"[(12, 18), (20, 24)]","[(5, 10), (30, 33)]"
"[(17, 22), (24, 27), (41, 46)]","[(0, 5), (29, 33)]"
"[(16, 21)]","[(16, 21), (70, 74)]"
"[(23, 29)]","[(0, 4), (55, 61)]"
[],"[(0, 5), (30, 33)]"
[],"[(8, 13), (26, 32)]"
"[(15, 18)]","[(0, 6), (22, 25)]"
[],"[(10, 13), (15, 21), (23, 27)]"
"[(20, 25), (39, 43)]","[(15, 18), (39, 43)]"
"[(31, 36), (38, 43)]","[(12, 19), (56, 59)]"
"[(55, 56), (58, 63)]","[(0, 9), (90, 94)]"
[],"[(0, 5), (30, 33), (54, 59)]"
[],"[(5, 8), (20, 27), (34, 49)]"
